group,keyword,product_count,mention_count,product_ratio
전체,캡슐/정,142,160,0.5318
전체,비타민,84,182,0.3146
전체,유산균,44,73,0.1648
전체,분말/스틱,38,45,0.1423
전체,오메가3,25,48,0.0936
전체,홍삼,22,24,0.0824
전체,프리미엄,22,23,0.0824
전체,마그네슘,16,17,0.0599
전체,여성,15,17,0.0562
전체,어린이,14,18,0.0524
전체,루테인,12,22,0.0449
전체,다이어트,10,12,0.0375
전체,칼슘,9,9,0.0337
전체,아연,9,9,0.0337
전체,국내/인증,7,8,0.0262
전체,코엔자임,6,13,0.0225
전체,관절,6,8,0.0225
전체,효소,5,8,0.0187
전체,선물/세트,5,8,0.0187
전체,밀크씨슬,5,7,0.0187
전체,피로/활력,4,5,0.015
전체,혈행,3,4,0.0112
전체,대용량,3,3,0.0112
전체,단백질,2,3,0.0075
전체,남성,2,2,0.0075
전체,콜라겐,1,1,0.0037
전체,아르기닌,1,1,0.0037
전체,장건강,1,1,0.0037
전체,면역,1,1,0.0037
전체,부모님/시니어,1,1,0.0037
전체,수면/스트레스,0,0,0.0
전체,저당/무첨가,0,0,0.0
