campaign_id,channel,country,creative_type,spend,installs,cpi,avg_d1_retention,avg_d7_retention,d7_revenue,d7_roas
C028,Unity Ads,US,playable,45535.04,4749,9.5883,0.5116,0.2158,3788.2524751901624,0.0832
C014,Google Ads,US,playable,58055.659999999996,6884,8.4334,0.4575,0.1903,4592.429067135758,0.0791
C012,Google Ads,JP,playable,58382.96,7633,7.6488,0.4329,0.185,4473.458778824747,0.0766
C030,Unity Ads,BR,playable,41757.85,10687,3.9074,0.408,0.1713,2977.8754136437715,0.0713
C026,Unity Ads,JP,video,43620.49,4375,9.9704,0.4551,0.1871,2958.406675983907,0.0678
C036,AppLovin,US,video,44462.5,4394,10.1189,0.4424,0.1836,2977.38637170806,0.067
C031,Unity Ads,KR,video,45653.14,6180,7.3872,0.4437,0.1895,3046.5734284563314,0.0667
C008,Meta,JP,playable,55584.47,7076,7.8554,0.415,0.1721,3612.8736928821477,0.065
C010,Google Ads,BR,playable,60071.8,17034,3.5266,0.3595,0.1556,3873.056819573175,0.0645
C033,AppLovin,IN,playable,48129.05,17363,2.7719,0.3621,0.1504,3105.1426150641073,0.0645
C027,Unity Ads,IN,playable,45452.26,15510,2.9305,0.3816,0.1601,2873.297545745499,0.0632
C013,Google Ads,JP,video,57749.33,6512,8.8681,0.406,0.168,3557.0202236565883,0.0616
C029,Unity Ads,BR,video,44776.05,10111,4.4284,0.3793,0.1511,2568.086317539043,0.0574
C032,Unity Ads,JP,static,43501.36,3972,10.952,0.4043,0.1715,2430.659458685475,0.0559
C040,AppLovin,BR,video,47958.02,10688,4.4871,0.3589,0.1519,2613.1800310088975,0.0545
C006,Meta,JP,video,56387.54,6097,9.2484,0.3744,0.1556,2967.689083181519,0.0526
C037,AppLovin,JP,static,47780.29,4469,10.6915,0.3942,0.1602,2507.990624543462,0.0525
C039,AppLovin,KR,static,48606.61,6102,7.9657,0.3856,0.165,2547.843214455317,0.0524
C034,AppLovin,US,static,46662.95,3885,12.0111,0.4079,0.1685,2424.2990823930463,0.052
C007,Meta,IN,playable,55533.58,20676,2.6859,0.3176,0.1377,2884.394651800235,0.0519
C025,Unity Ads,KR,static,44246.09,5175,8.55,0.4059,0.1708,2296.6743672593416,0.0519
C009,Google Ads,US,static,58065.15,5270,11.0181,0.394,0.1669,2989.231476730077,0.0515
C002,Meta,BR,playable,56195.06,15118,3.7171,0.3483,0.1454,2873.965094217178,0.0511
C038,AppLovin,IN,video,47110.48,14825,3.1778,0.3343,0.1387,2409.211519415149,0.0511
C004,Meta,KR,video,56140.77,8128,6.9071,0.3726,0.1571,2810.4547032321825,0.0501
C017,TikTok,KR,playable,50399.24,9989,5.0455,0.3366,0.1362,2451.872299335534,0.0486
C011,Google Ads,JP,static,59265.74,5774,10.2642,0.3717,0.1533,2871.565806943528,0.0485
C001,Meta,US,static,55902.4,4844,11.5405,0.365,0.1536,2481.4809160108057,0.0444
C035,AppLovin,BR,static,47750.3,9597,4.9755,0.3155,0.1352,2018.8888276535868,0.0423
C003,Meta,JP,static,55117.22,5184,10.6322,0.3449,0.1388,2319.732009414701,0.0421
C015,Google Ads,IN,video,57398.32,19098,3.0055,0.3082,0.1314,2358.3004471831873,0.0411
C019,TikTok,BR,playable,50521.38,15921,3.1733,0.2856,0.1207,2046.218730030292,0.0405
C023,TikTok,JP,video,50416.72,6295,8.009,0.3099,0.1273,2009.668471139757,0.0399
C016,Google Ads,IN,static,60164.71,18031,3.3367,0.279,0.1161,2307.9401348599904,0.0384
C022,TikTok,BR,video,49330.69,13658,3.6119,0.2595,0.1077,1811.9316254904707,0.0367
C005,Meta,BR,static,52791.2,11018,4.7914,0.2899,0.1227,1888.0675714823367,0.0358
C020,TikTok,JP,static,49556.64,5566,8.9035,0.2852,0.1152,1730.3165668326114,0.0349
C018,TikTok,US,static,48744.12,5038,9.6753,0.2958,0.1242,1575.5542449588565,0.0323
C021,TikTok,BR,static,54210.74,12568,4.3134,0.2403,0.0952,1519.54206002146,0.028
C024,TikTok,IN,static,51568.76,16922,3.0474,0.2278,0.0913,1166.5056989715877,0.0226
