campaign_id,channel,country,creative_type,spend,impressions,clicks,installs,ctr,cvr,cpi,tutorial_completion_rate,d1_retention,d7_retention,d7_roas,cpi_score,cvr_score,d7_retention_score,d7_roas_score,tutorial_score,campaign_performance_score,budget_action
C012,Google Ads,JP,playable,58382.96,2230846,43367,7633,0.0194,0.176,7.6488,0.7079,0.4329,0.185,0.0766,0.475,0.95,0.9,0.95,0.875,81.5,Scale
C014,Google Ads,US,playable,58055.659999999996,2045521,39796,6884,0.0195,0.173,8.4334,0.7416,0.4575,0.1903,0.0791,0.375,0.8875,0.975,0.975,0.975,80.75,Scale
C030,Unity Ads,BR,playable,41757.85,3815608,68052,10687,0.0178,0.157,3.9074,0.6663,0.408,0.1713,0.0713,0.7,0.725,0.8,0.925,0.775,79.0,Scale
C028,Unity Ads,US,playable,45535.04,1735244,31014,4749,0.0179,0.1531,9.5883,0.8222,0.5116,0.2158,0.0832,0.25,0.675,1.0,1.0,1.0,74.75,Maintain
C027,Unity Ads,IN,playable,45452.26,5551909,99317,15510,0.0179,0.1562,2.9305,0.6058,0.3816,0.1601,0.0632,0.925,0.7,0.625,0.75,0.6,74.5,Maintain
C010,Google Ads,BR,playable,60071.8,5107305,97071,17034,0.019,0.1755,3.5266,0.5775,0.3595,0.1556,0.0645,0.775,0.925,0.5625,0.7875,0.45,73.875,Maintain
C008,Meta,JP,playable,55584.47,1984176,42540,7076,0.0214,0.1663,7.8554,0.6751,0.415,0.1721,0.065,0.44999999999999996,0.7875,0.85,0.825,0.85,73.125,Maintain
C033,AppLovin,IN,playable,48129.05,5292713,108211,17363,0.0204,0.1605,2.7719,0.5871,0.3621,0.1504,0.0645,0.95,0.75,0.425,0.7875,0.475,71.43750000000001,Maintain
C031,Unity Ads,KR,video,45653.14,2974042,45405,6180,0.0153,0.1361,7.3872,0.7174,0.4437,0.1895,0.0667,0.5,0.35,0.95,0.85,0.925,69.125,Maintain
C007,Meta,IN,playable,55533.58,5761945,123754,20676,0.0215,0.1671,2.6859,0.5163,0.3176,0.1377,0.0519,0.975,0.85,0.325,0.5125,0.275,63.6875,Maintain
C026,Unity Ads,JP,video,43620.49,2188693,32430,4375,0.0148,0.1349,9.9704,0.7213,0.4551,0.1871,0.0678,0.19999999999999996,0.325,0.925,0.9,0.95,61.875,Maintain
C036,AppLovin,US,video,44462.5,1863805,31244,4394,0.0168,0.1406,10.1189,0.71,0.4424,0.1836,0.067,0.17500000000000004,0.45,0.875,0.875,0.9,61.62500000000001,Maintain
C013,Google Ads,JP,video,57749.33,2704385,43201,6512,0.016,0.1507,8.8681,0.6432,0.406,0.168,0.0616,0.32499999999999996,0.65,0.725,0.725,0.725,61.0,Maintain
C002,Meta,BR,playable,56195.06,4157528,90604,15118,0.0218,0.1669,3.7171,0.5623,0.3483,0.1454,0.0511,0.725,0.825,0.4,0.4375,0.4,57.56250000000001,Maintain
C029,Unity Ads,BR,video,44776.05,4946126,73550,10111,0.0149,0.1375,4.4284,0.604,0.3793,0.1511,0.0574,0.65,0.375,0.45,0.7,0.575,55.375,Maintain
C040,AppLovin,BR,video,47958.02,4452665,76546,10688,0.0172,0.1396,4.4871,0.576,0.3589,0.1519,0.0545,0.625,0.4,0.475,0.65,0.425,53.87499999999999,Review
C017,TikTok,KR,playable,50399.24,1608012,50165,9989,0.0312,0.1991,5.0455,0.5426,0.3366,0.1362,0.0486,0.55,1.0,0.3,0.375,0.35,52.37500000000001,Review
C004,Meta,KR,video,56140.77,3086090,55475,8128,0.018,0.1465,6.9071,0.6019,0.3726,0.1571,0.0501,0.525,0.525,0.6,0.4,0.525,51.24999999999999,Review
C019,TikTok,BR,playable,50521.38,2631104,82123,15921,0.0312,0.1939,3.1733,0.4614,0.2856,0.1207,0.0405,0.85,0.975,0.15,0.225,0.125,50.74999999999999,Review
C038,AppLovin,IN,video,47110.48,6271721,106038,14825,0.0169,0.1398,3.1778,0.5355,0.3343,0.1387,0.0511,0.825,0.425,0.35,0.4375,0.325,50.4375,Review
C006,Meta,JP,video,56387.54,2351418,42200,6097,0.0179,0.1445,9.2484,0.6199,0.3744,0.1556,0.0526,0.275,0.5,0.5625,0.625,0.625,49.6875,Review
C039,AppLovin,KR,static,48606.61,3612476,49129,6102,0.0136,0.1242,7.9657,0.6253,0.3856,0.165,0.0524,0.42500000000000004,0.15,0.675,0.575,0.675,48.25000000000001,Review
C015,Google Ads,IN,video,57398.32,8160355,128873,19098,0.0158,0.1482,3.0055,0.5004,0.3082,0.1314,0.0411,0.9,0.6,0.25,0.25,0.225,48.12499999999999,Review
C025,Unity Ads,KR,static,44246.09,3585526,44205,5175,0.0123,0.1171,8.55,0.6491,0.4059,0.1708,0.0519,0.35,0.025,0.775,0.5125,0.75,45.1875,Review
C032,Unity Ads,JP,static,43501.36,2694968,32630,3972,0.0121,0.1217,10.952,0.6719,0.4043,0.1715,0.0559,0.07499999999999996,0.075,0.825,0.675,0.825,45.0,Review
C022,TikTok,BR,video,49330.69,3017482,78934,13658,0.0262,0.173,3.6119,0.4157,0.2595,0.1077,0.0367,0.75,0.8875,0.075,0.15,0.075,42.49999999999999,Review
C037,AppLovin,JP,static,47780.29,2609523,36293,4469,0.0139,0.1231,10.6915,0.6323,0.3942,0.1602,0.0525,0.09999999999999998,0.125,0.65,0.6,0.7,39.75,Review
C009,Google Ads,US,static,58065.15,3086042,40317,5270,0.0131,0.1307,11.0181,0.624,0.394,0.1669,0.0515,0.050000000000000044,0.25,0.7,0.475,0.65,38.87499999999999,Review
C023,TikTok,JP,video,50416.72,1457279,37856,6295,0.026,0.1663,8.009,0.5128,0.3099,0.1273,0.0399,0.4,0.7875,0.225,0.2,0.25,37.625,Review
C034,AppLovin,US,static,46662.95,2303176,32289,3885,0.014,0.1203,12.0111,0.6675,0.4079,0.1685,0.052,0.0,0.05,0.75,0.55,0.8,37.5,Review
C024,TikTok,IN,static,51568.76,5274730,114299,16922,0.0217,0.1481,3.0474,0.3642,0.2278,0.0913,0.0226,0.875,0.575,0.025,0.025,0.025,34.74999999999999,Reduce
C016,Google Ads,IN,static,60164.71,10225920,136275,18031,0.0133,0.1323,3.3367,0.4523,0.279,0.1161,0.0384,0.8,0.3,0.125,0.175,0.1,34.0,Reduce
C011,Google Ads,JP,static,59265.74,3307975,44094,5774,0.0133,0.1309,10.2642,0.6029,0.3717,0.1533,0.0485,0.15000000000000002,0.275,0.5,0.35,0.55,33.25000000000001,Reduce
C035,AppLovin,BR,static,47750.3,5705117,78025,9597,0.0137,0.123,4.9755,0.5179,0.3155,0.1352,0.0423,0.575,0.1,0.275,0.3,0.3,32.25,Reduce
C021,TikTok,BR,static,54210.74,4062293,87187,12568,0.0215,0.1441,4.3134,0.3937,0.2403,0.0952,0.028,0.675,0.475,0.05,0.05,0.05,29.125000000000007,Reduce
C001,Meta,US,static,55902.4,2640853,38626,4844,0.0146,0.1254,11.5405,0.5886,0.365,0.1536,0.0444,0.025000000000000022,0.175,0.525,0.325,0.5,27.875000000000007,Reduce
C005,Meta,BR,static,52791.2,5842509,85199,11018,0.0146,0.1293,4.7914,0.4742,0.2899,0.1227,0.0358,0.6,0.225,0.175,0.125,0.175,27.875,Reduce
C018,TikTok,US,static,48744.12,1594201,33780,5038,0.0212,0.1491,9.6753,0.48,0.2958,0.1242,0.0323,0.22499999999999998,0.625,0.2,0.075,0.2,26.0,Reduce
C003,Meta,JP,static,55117.22,2725414,40829,5184,0.015,0.127,10.6322,0.5581,0.3449,0.1388,0.0421,0.125,0.2,0.375,0.275,0.375,25.25,Reduce
C020,TikTok,JP,static,49556.64,1760110,37608,5566,0.0214,0.148,8.9035,0.4718,0.2852,0.1152,0.0349,0.30000000000000004,0.55,0.1,0.1,0.15,24.250000000000004,Reduce
