app_id,title,review_count,avg_review_score
bubbleshooter.orig,Bubble Shooter - Classic Pop,100,4.24
com.JindoBlu.Antistress,Antistress - relaxation toys,100,4.74
com.JindoBlu.OfflineGames,Offline Games - No Wifi Games,100,4.58
com.Seriously.BestFiends,Best Fiends - Match 3 Puzzles,100,3.97
com.WalkTalk.FlightMaster,Epic Plane Evolution,100,3.52
com.bandagames.mpuzzle.gp,Magic Jigsaw Puzzles－Games HD,100,4.81
com.block.juggle,Block Blast!,100,4.64
com.codigames.hotel.empire.tycoon.idle.game,Hotel Empire Tycoon－Idle Game,100,4.0
com.crazylabs.lady.bug,Miraculous Ladybug & Cat Noir,100,4.16
com.creations.runnergame,Kooply Run™: Play and Create!,100,3.83
com.devsisters.cos,CookieRun: OvenSmash,100,3.47
com.dreamgames.royalkingdom,Royal Kingdom,100,4.04
com.dreamgames.royalmatch,Royal Match,100,4.51
com.ea.game.nfs14_row,Need for Speed™ No Limits,100,4.17
com.ea.game.pvzfree_row,Plants vs. Zombies™,100,3.35
com.easybrain.art.puzzle,Art Puzzle - Puzzle Games,100,4.27
com.easybrain.block.puzzle.games,Blockudoku®: Block Puzzle Game,100,3.7
com.easybrain.jigsaw.puzzles,Jigsaw Puzzles - Puzzle Games,100,4.0
com.easybrain.sudoku.android,Sudoku.com - Classic Sudoku,100,3.74
com.ecffri.arrows,Arrows – Puzzle Escape,100,4.72
com.farlightgames.pgame.gp,Clash of Critters,100,4.37
com.fgol.HungrySharkEvolution,Hungry Shark Evolution,100,4.3
com.fingersoft.hcr2,Hill Climb Racing 2,100,3.53
com.firsttouchgames.dls7,Dream League Soccer 2026,100,4.18
com.fluffyfairygames.idleminertycoon,Idle Miner Tycoon: Gold Games,100,4.67
com.gameloft.android.ANMP.GloftA8HM,Asphalt 8 - Car Racing Game,100,4.43
com.gameloft.android.ANMP.GloftDMHM,Minion Rush: Running Game,100,3.66
com.gameloft.android.ANMP.GloftICHM,Sonic Runners Adventure game,100,4.2
com.gamovation.tileclub,Tile Club - Match Puzzle Games,100,4.31
com.greencod.pinballdeluxereloaded,Pinball Deluxe: Reloaded,100,4.69
com.halfbrick.fruitninjafree,Fruit Ninja®,100,4.08
com.imangi.templerun2,Temple Run 2: Endless Escape,100,4.28
com.imangi.templerun,Temple Run,100,3.96
com.inspiredsquare.jupiter,2248 - Numbers Game 2048,100,4.36
com.kiloo.subwaysurf,Subway Surfers,100,4.35
com.zynga.pottermatch,Harry Potter: Puzzles & Spells,100,4.11
com.king.bubblewitch3,Bubble Witch 3 Saga,100,3.45
com.king.candycrush4,Candy Crush Friends Saga,100,3.94
com.king.candycrushjellysaga,Candy Crush Jelly Saga,100,4.3
com.king.candycrushsaga,Candy Crush Saga,100,4.46
com.king.candycrushsodasaga,Candy Crush Soda Saga,100,4.19
com.kitkagames.fallbuddies,Stumble Guys,100,4.35
com.mediocre.smashhit,Smash Hit,100,4.6
com.miniclip.carrom,Carrom Pool: Disc Game,100,3.83
com.miniclip.eightballpool,8 Ball Pool,100,4.17
com.mojang.minecraftpe,"Minecraft: Dream it, Build it!",100,4.39
com.moonactive.coinmaster,Coin Master,100,4.4
com.nekki.vector,Vector,100,4.48
com.nekki.shadowfight3,Shadow Fight 3 - RPG fighting,100,4.21
com.nintendo.zara,Super Mario Run,100,2.99
com.oakever.tiletrip,Tile Explorer - Triple Match,100,4.44
com.playrix.homescapes,Homescapes,100,4.28
com.os.space.force.galaxy.alien,Galaxiga: Galaxy Arcade Game,100,4.3
com.outfit7.herodash,Talking Tom: Hero Dash Run,100,4.51
com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,100,4.31
com.playgendary.sportmasters,Bouncemasters: Penguin Games,100,4.57
com.playgendary.tom,Tomb of the Mask: Old Maze,100,4.08
com.playrix.fishdomdd.gplay,Fishdom,100,3.36
com.playrix.gardenscapes,Gardenscapes,100,3.27
com.roblox.client,Roblox,100,3.78
com.playrix.township,Township,100,3.89
com.pocketchamps.game,Pocket Champs: 3D Racing Games,100,2.89
com.rioo.runnersubway,Subway Princess Runner,100,4.3
com.robtopx.geometryjump,Geometry Dash,100,4.56
com.robtopx.geometrydashsubzero,Geometry Dash SubZero,100,4.35
com.robtopx.geometryjumplite,Geometry Dash Lite,100,4.38
com.rovio.baba,Angry Birds 2,100,3.31
io.voodoo.paper2,Paper.io 2,100,3.71
com.rubygames.assassin,Hunter Assassin,100,3.9
com.rvappstudios.jigsaw.puzzles.kids,Puzzle Kids: Jigsaw Puzzles,100,4.38
com.sega.sonicboomandroid,Sonic Boom Dash,100,4.29
com.sega.sonicdash,Sonic Dash Run,100,4.69
com.sega.sprint,Sonic Forces: PvP Race,100,4.26
com.smallgiantgames.empires,Empires & Puzzles: Match-3 RPG,100,3.33
com.solou.catendless.run,Cat Runner: Decorate Home,100,4.36
com.spinmaster.gabbysdollhouse,Gabbys Dollhouse: Games & Cats,100,4.36
com.streetrush.runninggame,Street Rush - Running Game,100,3.97
com.superking.parchisi.star,Parchisi STAR Online,100,2.63
com.sybogames.subway.surfers.game,Subway Surfers City,100,4.59
com.vectorunit.cobalt.googleplay,Beach Buggy Racing 2,100,3.66
com.tripledot.triple.tile.match.pair.game.three.master.object,Triple Tile: Match Puzzle Game,100,4.44
com.vincentb.MobControl,Mob Control,100,3.87
com.vectorunit.purple.googleplay,Beach Buggy Racing,100,4.22
net.peakgames.toonblast,Toon Blast,100,3.84
eu.bandainamcoent.pacman256,PAC-MAN 256 - Endless Maze,100,3.32
com.vitastudio.mahjong,Vita Mahjong,100,4.16
com.weplaydots.twodotsandroid,Two Dots: Brain Puzzle Games,100,2.45
com.wildspike.wormszone,Worms Zone .io - Hungry Snake,100,4.39
com.yodo1.crossyroad,Crossy Road,100,4.55
com.youmusic.magictiles,Magic Tiles 3™ - Piano Game,100,3.86
com.zeptolab.ctr.ads,Cut the Rope,100,4.14
where.my.seat.taken.logic.puzzle.brain.mind,Where's My Seat?・Logic Puzzles,100,4.18
net.peakgames.match,Match Factory!,100,4.23
find.out.hidden.objects.seek.puzzle.games.free,Find It Out® - Hidden Object,100,3.75
io.voodoo.holeio,Hole.io,100,2.36
com.uken.mattel.match,Mattel Match,97,4.711340206185567
com.merge.match3mystery,Mistfall Match: Design & Blast,81,4.419753086419753
com.halfbrick.aeroracer,Jetpack Joyride Racing,73,2.9452054794520546
com.superbox.aos.collecthole,Drop in the Hole,10,2.9
