app_id,title,review_count,avg_review_score,low_score_rate_1_2,ad_complaint_rate,reward_rate,difficulty_rate,repetition_boredom_rate,bug_performance_rate,payment_iap_rate,positive_fun_rate,avg_risk_signal_count,review_risk_score,developer,genre,score,ratings_count,reviews_count,installs,min_installs,real_installs,free,contains_ads,in_app_purchase,updated,content_rating
io.voodoo.holeio,Hole.io,100,2.36,0.64,0.57,0.03,0.12,0.04,0.04,0.04,0.22,0.81,31.900000000000002,VOODOO,Casual,2.9716988,1262014.0,133934.0,"100,000,000+",100000000,397493292,True,True,True,2026-06-02 14:57:08,Teen
com.weplaydots.twodotsandroid,Two Dots: Brain Puzzle Games,100,2.45,0.62,0.39,0.05,0.23,0.02,0.07,0.19,0.46,0.9,28.050000000000004,PlayDots,Board,4.275713,1157950.0,87667.0,"50,000,000+",50000000,71135999,True,True,True,2026-05-27 13:39:36,Everyone
com.superking.parchisi.star,Parchisi STAR Online,100,2.63,0.6,0.09,0.05,0.01,0.0,0.13,0.08,0.08,0.31,18.75,Gameberry Labs,Board,4.682722,3267513.0,21985.0,"100,000,000+",100000000,163295301,True,True,True,2026-06-02 19:32:46,Everyone
com.pocketchamps.game,Pocket Champs: 3D Racing Games,100,2.89,0.46,0.17,0.06,0.05,0.03,0.05,0.12,0.37,0.42,17.200000000000003,Madbox,Arcade,4.498816,1180373.0,16698.0,"50,000,000+",50000000,54779173,True,True,True,2026-06-01 16:31:57,Everyone
com.superbox.aos.collecthole,Drop in the Hole,10,2.9,0.5,0.2,0.0,0.0,0.0,0.0,0.1,0.3,0.3,17.0,SUPERBOX Inc,Casual,4.52,184.0,8.0,"10,000+",10000,24587,True,True,True,2026-05-21 17:08:08,Everyone
com.easybrain.sudoku.android,Sudoku.com - Classic Sudoku,100,3.74,0.28,0.32,0.0,0.05,0.01,0.02,0.02,0.26,0.42,16.050000000000004,Easybrain,Puzzle,4.6989245,2398389.0,85359.0,"100,000,000+",100000000,104226504,True,True,True,2026-06-02 20:34:52,Everyone
com.fingersoft.hcr2,Hill Climb Racing 2,100,3.53,0.34,0.2,0.05,0.01,0.02,0.06,0.1,0.33,0.39,15.6,Fingersoft,Racing,4.4680076,4700861.0,146847.0,"100,000,000+",100000000,437854943,True,True,True,2026-06-02 10:41:17,Everyone
com.ea.game.pvzfree_row,Plants vs. Zombies™,100,3.35,0.38,0.22,0.0,0.05,0.0,0.03,0.04,0.24,0.34,15.350000000000003,ELECTRONIC ARTS,Strategy,3.8017564,5740623.0,116834.0,"500,000,000+",500000000,636519979,True,True,True,2026-05-04 07:41:38,Everyone 10+
com.playgendary.tom,Tomb of the Mask: Old Maze,100,4.08,0.18,0.3,0.03,0.07,0.02,0.07,0.06,0.39,0.52,15.25,Playgendary Limited,Action,4.3063407,2481693.0,82870.0,"100,000,000+",100000000,466021316,True,True,True,2026-04-10 08:51:29,Everyone
find.out.hidden.objects.seek.puzzle.games.free,Find It Out® - Hidden Object,100,3.75,0.26,0.25,0.02,0.07,0.02,0.07,0.04,0.48,0.45,15.150000000000002,Guru Puzzle Game,Puzzle,4.855531,383952.0,7091.0,"10,000,000+",10000000,42709303,True,True,True,2026-06-04 02:51:48,Everyone
com.halfbrick.aeroracer,Jetpack Joyride Racing,73,2.9452054794520546,0.4794520547945205,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.1506849315068493,0.0821917808219178,0.1780821917808219,0.273972602739726,14.794520547945206,Halfbrick Studios,Racing,3.0357144,411.0,19.0,"100,000+",100000,107999,True,False,True,2026-05-24 23:17:58,Everyone
