app_id,title,review_count,avg_review_score,low_score_rate_1_2,ad_complaint_rate,reward_rate,difficulty_rate,repetition_boredom_rate,bug_performance_rate,payment_iap_rate,positive_fun_rate,avg_risk_signal_count,review_risk_score
io.voodoo.holeio,Hole.io,100,2.36,0.64,0.57,0.03,0.12,0.04,0.04,0.04,0.22,0.81,31.900000000000002
com.weplaydots.twodotsandroid,Two Dots: Brain Puzzle Games,100,2.45,0.62,0.39,0.05,0.23,0.02,0.07,0.19,0.46,0.9,28.050000000000004
com.superking.parchisi.star,Parchisi STAR Online,100,2.63,0.6,0.09,0.05,0.01,0.0,0.13,0.08,0.08,0.31,18.75
com.pocketchamps.game,Pocket Champs: 3D Racing Games,100,2.89,0.46,0.17,0.06,0.05,0.03,0.05,0.12,0.37,0.42,17.200000000000003
com.superbox.aos.collecthole,Drop in the Hole,10,2.9,0.5,0.2,0.0,0.0,0.0,0.0,0.1,0.3,0.3,17.0
com.easybrain.sudoku.android,Sudoku.com - Classic Sudoku,100,3.74,0.28,0.32,0.0,0.05,0.01,0.02,0.02,0.26,0.42,16.050000000000004
com.fingersoft.hcr2,Hill Climb Racing 2,100,3.53,0.34,0.2,0.05,0.01,0.02,0.06,0.1,0.33,0.39,15.6
com.ea.game.pvzfree_row,Plants vs. Zombies™,100,3.35,0.38,0.22,0.0,0.05,0.0,0.03,0.04,0.24,0.34,15.350000000000003
com.playgendary.tom,Tomb of the Mask: Old Maze,100,4.08,0.18,0.3,0.03,0.07,0.02,0.07,0.06,0.39,0.52,15.25
find.out.hidden.objects.seek.puzzle.games.free,Find It Out® - Hidden Object,100,3.75,0.26,0.25,0.02,0.07,0.02,0.07,0.04,0.48,0.45,15.150000000000002
com.halfbrick.aeroracer,Jetpack Joyride Racing,73,2.9452054794520546,0.4794520547945205,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.1506849315068493,0.0821917808219178,0.1780821917808219,0.273972602739726,14.794520547945206
io.voodoo.paper2,Paper.io 2,100,3.71,0.26,0.24,0.05,0.01,0.0,0.08,0.0,0.31,0.33,14.400000000000002
com.youmusic.magictiles,Magic Tiles 3™ - Piano Game,100,3.86,0.22,0.29,0.0,0.03,0.0,0.02,0.03,0.32,0.37,13.900000000000002
com.smallgiantgames.empires,Empires & Puzzles: Match-3 RPG,100,3.33,0.39,0.08,0.04,0.07,0.02,0.03,0.26,0.43,0.46,13.850000000000001
com.devsisters.cos,CookieRun: OvenSmash,100,3.47,0.33,0.0,0.0,0.09,0.04,0.25,0.04,0.49,0.42,13.850000000000001
com.king.bubblewitch3,Bubble Witch 3 Saga,100,3.45,0.35,0.1,0.06,0.16,0.04,0.08,0.1,0.41,0.48,13.600000000000001
com.nintendo.zara,Super Mario Run,100,2.99,0.47,0.03,0.03,0.04,0.02,0.01,0.22,0.26,0.32,13.05
com.vincentb.MobControl,Mob Control,100,3.87,0.24,0.2,0.02,0.02,0.02,0.05,0.04,0.28,0.33,12.75
com.rovio.baba,Angry Birds 2,100,3.31,0.38,0.08,0.01,0.05,0.0,0.07,0.08,0.31,0.28,12.55
com.codigames.hotel.empire.tycoon.idle.game,Hotel Empire Tycoon－Idle Game,100,4.0,0.19,0.16,0.03,0.02,0.0,0.12,0.08,0.36,0.38,12.4
com.WalkTalk.FlightMaster,Epic Plane Evolution,100,3.52,0.35,0.16,0.02,0.06,0.01,0.01,0.02,0.22,0.26,12.4
where.my.seat.taken.logic.puzzle.brain.mind,Where's My Seat?・Logic Puzzles,100,4.18,0.16,0.26,0.04,0.13,0.0,0.04,0.03,0.47,0.46,12.3
eu.bandainamcoent.pacman256,PAC-MAN 256 - Endless Maze,100,3.32,0.41,0.02,0.01,0.01,0.03,0.11,0.02,0.3,0.19,12.2
com.vitastudio.mahjong,Vita Mahjong,100,4.16,0.19,0.21,0.01,0.06,0.01,0.04,0.04,0.42,0.36,11.65
com.easybrain.block.puzzle.games,Blockudoku®: Block Puzzle Game,100,3.7,0.29,0.15,0.02,0.02,0.01,0.03,0.02,0.29,0.23,11.399999999999999
com.playrix.fishdomdd.gplay,Fishdom,100,3.36,0.38,0.02,0.03,0.14,0.01,0.02,0.2,0.42,0.39,10.850000000000001
com.Seriously.BestFiends,Best Fiends - Match 3 Puzzles,100,3.97,0.22,0.14,0.07,0.11,0.01,0.04,0.11,0.56,0.41,10.850000000000001
com.easybrain.jigsaw.puzzles,Jigsaw Puzzles - Puzzle Games,100,4.0,0.21,0.19,0.01,0.03,0.01,0.01,0.04,0.26,0.28,10.700000000000001
com.gameloft.android.ANMP.GloftDMHM,Minion Rush: Running Game,100,3.66,0.3,0.09,0.01,0.02,0.02,0.06,0.02,0.39,0.21,10.7
net.peakgames.toonblast,Toon Blast,100,3.84,0.26,0.1,0.06,0.09,0.05,0.03,0.09,0.45,0.36,10.600000000000001
com.king.candycrush4,Candy Crush Friends Saga,100,3.94,0.21,0.07,0.05,0.09,0.03,0.14,0.03,0.49,0.36,10.55
com.playrix.gardenscapes,Gardenscapes,100,3.27,0.41,0.0,0.12,0.17,0.02,0.01,0.14,0.24,0.34,10.15
com.zeptolab.ctr.ads,Cut the Rope,100,4.14,0.2,0.18,0.0,0.07,0.0,0.01,0.01,0.39,0.27,9.75
com.playrix.township,Township,100,3.89,0.25,0.08,0.01,0.04,0.04,0.03,0.07,0.27,0.26,9.45
com.vectorunit.cobalt.googleplay,Beach Buggy Racing 2,100,3.66,0.26,0.09,0.04,0.04,0.02,0.03,0.04,0.26,0.22,9.350000000000001
com.halfbrick.fruitninjafree,Fruit Ninja®,100,4.08,0.2,0.12,0.02,0.03,0.0,0.04,0.05,0.33,0.24,9.100000000000001
com.tripledot.triple.tile.match.pair.game.three.master.object,Triple Tile: Match Puzzle Game,100,4.44,0.11,0.15,0.02,0.09,0.01,0.08,0.02,0.47,0.35,9.05
com.rubygames.assassin,Hunter Assassin,100,3.9,0.24,0.13,0.0,0.04,0.0,0.01,0.0,0.11,0.18,8.95
com.farlightgames.pgame.gp,Clash of Critters,100,4.37,0.13,0.12,0.01,0.06,0.04,0.03,0.08,0.51,0.33,8.35
com.zynga.pottermatch,Harry Potter: Puzzles & Spells,100,4.11,0.2,0.06,0.06,0.1,0.01,0.05,0.11,0.58,0.33,8.300000000000002
net.peakgames.match,Match Factory!,100,4.23,0.13,0.13,0.12,0.12,0.01,0.02,0.11,0.58,0.39,8.25
com.os.space.force.galaxy.alien,Galaxiga: Galaxy Arcade Game,100,4.3,0.12,0.1,0.05,0.04,0.0,0.09,0.06,0.47,0.29,8.249999999999998
com.miniclip.carrom,Carrom Pool: Disc Game,100,3.83,0.28,0.07,0.03,0.01,0.0,0.02,0.0,0.1,0.1,8.200000000000001
com.fgol.HungrySharkEvolution,Hungry Shark Evolution,100,4.3,0.15,0.07,0.05,0.03,0.01,0.08,0.05,0.34,0.24,7.75
com.gameloft.android.ANMP.GloftICHM,Sonic Runners Adventure game,100,4.2,0.16,0.01,0.01,0.04,0.02,0.1,0.1,0.38,0.27,7.300000000000001
com.king.candycrushsodasaga,Candy Crush Soda Saga,100,4.19,0.19,0.04,0.05,0.08,0.0,0.07,0.05,0.37,0.24,7.250000000000001
com.inspiredsquare.jupiter,2248 - Numbers Game 2048,100,4.36,0.14,0.12,0.0,0.07,0.0,0.03,0.0,0.35,0.22,7.15
com.sega.sprint,Sonic Forces: PvP Race,100,4.26,0.13,0.09,0.04,0.04,0.02,0.05,0.03,0.39,0.23,7.15
com.creations.runnergame,Kooply Run™: Play and Create!,100,3.83,0.26,0.05,0.0,0.02,0.01,0.0,0.01,0.18,0.09,6.950000000000001
bubbleshooter.orig,Bubble Shooter - Classic Pop,100,4.24,0.18,0.1,0.0,0.01,0.0,0.01,0.01,0.11,0.13,6.950000000000001
com.miniclip.eightballpool,8 Ball Pool,100,4.17,0.19,0.06,0.04,0.04,0.0,0.03,0.05,0.22,0.18,6.8500000000000005
com.dreamgames.royalkingdom,Royal Kingdom,100,4.04,0.19,0.07,0.03,0.07,0.02,0.0,0.05,0.29,0.21,6.7
com.roblox.client,Roblox,100,3.78,0.26,0.0,0.0,0.0,0.01,0.05,0.01,0.26,0.07,6.7
com.imangi.templerun,Temple Run,100,3.96,0.19,0.07,0.01,0.03,0.01,0.02,0.01,0.25,0.14,6.65
com.JindoBlu.OfflineGames,Offline Games - No Wifi Games,100,4.58,0.07,0.15,0.0,0.01,0.0,0.01,0.02,0.39,0.19,6.35
com.robtopx.geometryjumplite,Geometry Dash Lite,100,4.38,0.1,0.1,0.0,0.11,0.0,0.04,0.03,0.31,0.28,6.3
com.mojang.minecraftpe,"Minecraft: Dream it, Build it!",100,4.39,0.12,0.01,0.01,0.02,0.01,0.12,0.04,0.26,0.2,6.25
com.playgendary.sportmasters,Bouncemasters: Penguin Games,100,4.57,0.09,0.11,0.02,0.0,0.01,0.03,0.02,0.36,0.17,6.2
com.merge.match3mystery,Mistfall Match: Design & Blast,81,4.419753086419753,0.12345679012345678,0.07407407407407407,0.012345679012345678,0.037037037037037035,0.012345679012345678,0.024691358024691357,0.06172839506172839,0.654320987654321,0.20987654320987653,6.11111111111111
com.nekki.vector,Vector,100,4.48,0.11,0.1,0.01,0.06,0.0,0.03,0.01,0.22,0.2,6.05
com.crazylabs.lady.bug,Miraculous Ladybug & Cat Noir,100,4.16,0.14,0.04,0.01,0.05,0.02,0.03,0.08,0.35,0.22,5.8500000000000005
com.oakever.tiletrip,Tile Explorer - Triple Match,100,4.44,0.13,0.06,0.01,0.02,0.03,0.02,0.05,0.28,0.18,5.8500000000000005
com.firsttouchgames.dls7,Dream League Soccer 2026,100,4.18,0.14,0.06,0.05,0.02,0.01,0.03,0.03,0.19,0.15,5.800000000000001
com.robtopx.geometryjump,Geometry Dash,100,4.56,0.09,0.05,0.03,0.11,0.01,0.08,0.03,0.4,0.28,5.750000000000001
com.nekki.shadowfight3,Shadow Fight 3 - RPG fighting,100,4.21,0.14,0.03,0.01,0.01,0.01,0.06,0.04,0.13,0.15,5.750000000000001
com.streetrush.runninggame,Street Rush - Running Game,100,3.97,0.2,0.02,0.01,0.0,0.03,0.02,0.0,0.25,0.07,5.550000000000001
com.ea.game.nfs14_row,Need for Speed™ No Limits,100,4.17,0.17,0.03,0.0,0.01,0.01,0.03,0.01,0.24,0.09,5.300000000000001
com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,100,4.31,0.13,0.06,0.01,0.01,0.01,0.02,0.0,0.2,0.1,5.050000000000001
com.greencod.pinballdeluxereloaded,Pinball Deluxe: Reloaded,100,4.69,0.03,0.11,0.01,0.04,0.0,0.02,0.06,0.58,0.23,5.0
com.king.candycrushjellysaga,Candy Crush Jelly Saga,100,4.3,0.13,0.05,0.01,0.06,0.03,0.01,0.0,0.46,0.15,4.8
com.playrix.homescapes,Homescapes,100,4.28,0.13,0.03,0.05,0.05,0.01,0.03,0.04,0.23,0.16,4.8
com.gamovation.tileclub,Tile Club - Match Puzzle Games,100,4.31,0.13,0.04,0.01,0.04,0.0,0.03,0.02,0.21,0.13,4.75
com.imangi.templerun2,Temple Run 2: Endless Escape,100,4.28,0.12,0.06,0.02,0.01,0.0,0.01,0.03,0.22,0.11,4.75
com.rvappstudios.jigsaw.puzzles.kids,Puzzle Kids: Jigsaw Puzzles,100,4.38,0.13,0.04,0.01,0.0,0.01,0.02,0.03,0.35,0.1,4.75
com.spinmaster.gabbysdollhouse,Gabbys Dollhouse: Games & Cats,100,4.36,0.13,0.03,0.01,0.03,0.01,0.03,0.02,0.46,0.12,4.6000000000000005
com.vectorunit.purple.googleplay,Beach Buggy Racing,100,4.22,0.15,0.02,0.02,0.05,0.01,0.03,0.01,0.24,0.12,4.6
com.kiloo.subwaysurf,Subway Surfers,100,4.35,0.14,0.03,0.02,0.01,0.0,0.02,0.02,0.37,0.08,4.4
com.kitkagames.fallbuddies,Stumble Guys,100,4.35,0.12,0.01,0.0,0.01,0.0,0.06,0.02,0.28,0.1,4.3999999999999995
com.block.juggle,Block Blast!,100,4.64,0.06,0.08,0.01,0.02,0.02,0.02,0.0,0.34,0.14,4.3999999999999995
com.sybogames.subway.surfers.game,Subway Surfers City,100,4.59,0.09,0.04,0.0,0.02,0.0,0.05,0.01,0.3,0.12,4.35
com.yodo1.crossyroad,Crossy Road,100,4.55,0.06,0.02,0.04,0.0,0.01,0.09,0.01,0.47,0.13,4.3
com.easybrain.art.puzzle,Art Puzzle - Puzzle Games,100,4.27,0.14,0.04,0.0,0.02,0.01,0.0,0.0,0.24,0.07,4.15
com.moonactive.coinmaster,Coin Master,100,4.4,0.11,0.01,0.1,0.03,0.01,0.01,0.1,0.51,0.16,3.900000000000001
com.sega.sonicboomandroid,Sonic Boom Dash,100,4.29,0.1,0.03,0.0,0.01,0.01,0.03,0.0,0.32,0.08,3.8000000000000007
com.mediocre.smashhit,Smash Hit,100,4.6,0.05,0.06,0.0,0.01,0.02,0.02,0.02,0.28,0.13,3.8
com.robtopx.geometrydashsubzero,Geometry Dash SubZero,100,4.35,0.1,0.02,0.02,0.11,0.02,0.03,0.01,0.33,0.19,3.7500000000000004
com.wildspike.wormszone,Worms Zone .io - Hungry Snake,100,4.39,0.12,0.03,0.01,0.0,0.01,0.0,0.0,0.07,0.04,3.45
com.outfit7.herodash,Talking Tom: Hero Dash Run,100,4.51,0.1,0.0,0.02,0.01,0.02,0.03,0.04,0.24,0.1,3.45
com.rioo.runnersubway,Subway Princess Runner,100,4.3,0.14,0.01,0.0,0.0,0.0,0.01,0.01,0.09,0.03,3.45
com.solou.catendless.run,Cat Runner: Decorate Home,100,4.36,0.13,0.01,0.0,0.0,0.0,0.01,0.0,0.06,0.02,3.15
com.uken.mattel.match,Mattel Match,97,4.711340206185567,0.061855670103092786,0.030927835051546393,0.05154639175257732,0.041237113402061855,0.010309278350515464,0.020618556701030927,0.030927835051546393,0.6391752577319587,0.13402061855670103,3.1443298969072164
com.gameloft.android.ANMP.GloftA8HM,Asphalt 8 - Car Racing Game,100,4.43,0.11,0.01,0.01,0.01,0.0,0.02,0.01,0.16,0.05,3.1000000000000005
com.king.candycrushsaga,Candy Crush Saga,100,4.46,0.08,0.03,0.01,0.05,0.0,0.02,0.01,0.25,0.11,3.1
com.ecffri.arrows,Arrows – Puzzle Escape,100,4.72,0.05,0.04,0.0,0.02,0.0,0.0,0.02,0.19,0.08,2.4
com.sega.sonicdash,Sonic Dash Run,100,4.69,0.03,0.04,0.0,0.01,0.0,0.02,0.01,0.41,0.08,2.4
com.JindoBlu.Antistress,Antistress - relaxation toys,100,4.74,0.04,0.04,0.0,0.0,0.01,0.0,0.0,0.27,0.05,2.15
com.dreamgames.royalmatch,Royal Match,100,4.51,0.07,0.01,0.03,0.0,0.0,0.0,0.02,0.27,0.03,1.9000000000000004
com.fluffyfairygames.idleminertycoon,Idle Miner Tycoon: Gold Games,100,4.67,0.03,0.04,0.0,0.0,0.0,0.0,0.01,0.36,0.05,1.9000000000000004
com.bandagames.mpuzzle.gp,Magic Jigsaw Puzzles－Games HD,100,4.81,0.02,0.03,0.04,0.03,0.0,0.0,0.02,0.37,0.08,1.5
