revenue_rank,product_category,order_count,item_count,revenue,revenue_share_pct,cumulative_revenue_share_pct
1,health_beauty,8647,9465,1233131.72,9.33,9.33
2,watches_gifts,5495,5859,1166176.98,8.82,18.15
3,bed_bath_table,9272,10953,1023434.76,7.74,25.89
4,sports_leisure,7530,8431,954852.55,7.22,33.11
5,computers_accessories,6530,7644,888724.61,6.72,39.83
6,furniture_decor,6307,8160,711927.69,5.38,45.22
7,housewares,5743,6795,615628.69,4.66,49.87
8,cool_stuff,3559,3718,610204.1,4.62,54.49
9,auto,3810,4140,578966.65,4.38,58.87
10,toys,3804,4030,471286.48,3.56,62.43
11,garden_tools,3448,4268,470495.28,3.56,65.99
12,baby,2809,2982,400421.84,3.03,69.02
13,perfumery,3086,3340,390144.65,2.95,71.97
14,telephony,4093,4430,309860.23,2.34,74.31
15,office_furniture,1254,1668,268154.31,2.03,76.34
16,stationery,2264,2466,223788.69,1.69,78.03
17,computers,177,199,218684.14,1.65,79.69
18,pet_shop,1688,1924,211695.64,1.6,81.29
19,musical_instruments,611,651,184315.74,1.39,82.68
20,small_appliances,609,658,182754.12,1.38,84.06
