revenue_rank,product_category,revenue_share_pct,cumulative_revenue_share_pct
1,health_beauty,9.33,9.33
2,watches_gifts,8.82,18.15
3,bed_bath_table,7.74,25.89
4,sports_leisure,7.22,33.11
5,computers_accessories,6.72,39.83
6,furniture_decor,5.38,45.22
7,housewares,4.66,49.87
8,cool_stuff,4.62,54.49
9,auto,4.38,58.87
10,toys,3.56,62.43
11,garden_tools,3.56,65.99
12,baby,3.03,69.02
13,perfumery,2.95,71.97
14,telephony,2.34,74.31
15,office_furniture,2.03,76.34
16,stationery,1.69,78.03
17,computers,1.65,79.69
18,pet_shop,1.60,81.29
19,musical_instruments,1.39,82.68
20,small_appliances,1.38,84.06
