product_category,order_count,item_count,revenue,freight_revenue,avg_item_price,avg_review_score
health_beauty,8647,9465,1233131.72,178957.81,130.28,4.19
watches_gifts,5495,5859,1166176.98,98156.14,199.04,4.07
bed_bath_table,9272,10953,1023434.76,201774.5,93.44,3.92
sports_leisure,7530,8431,954852.55,163404.36,113.25,4.17
computers_accessories,6530,7644,888724.61,143999.16,116.26,3.99
furniture_decor,6307,8160,711927.69,168402.23,87.25,3.95
housewares,5743,6795,615628.69,142763.56,90.6,4.11
cool_stuff,3559,3718,610204.1,81476.79,164.12,4.19
auto,3810,4140,578966.65,90488.1,139.85,4.12
toys,3804,4030,471286.48,75774.58,116.94,4.21
