customer_state,order_count,avg_delivery_days,avg_delay_days,delayed_order_count,delayed_order_rate_pct,avg_review_score
AL,397,24.54,-8.03,95,23.93,3.85
MA,717,21.57,-8.89,141,19.67,3.83
PI,476,19.46,-10.63,76,15.97,3.99
CE,1279,21.27,-10.11,196,15.32,3.94
SE,335,21.52,-9.33,51,15.22,3.91
BA,3256,19.34,-10.1,457,14.04,3.93
RJ,12350,15.31,-11.05,1664,13.47,3.97
TO,274,17.66,-11.44,35,12.77,4.15
PA,946,23.77,-13.39,117,12.37,3.91
ES,1995,15.79,-9.8,244,12.23,4.08
MS,701,15.62,-10.36,81,11.55,4.16
PB,517,20.43,-12.6,57,11.03,4.08
PE,1593,18.45,-12.61,172,10.8,4.08
RN,474,19.28,-12.96,51,10.76,4.15
SC,3546,14.95,-10.8,346,9.76,4.13
GO,1957,15.61,-11.48,160,8.18,4.1
RS,5345,15.3,-13.21,382,7.15,4.19
DF,2080,12.97,-11.34,147,7.07,4.13
MT,886,18.06,-13.69,60,6.77,4.15
SP,40501,8.76,-10.38,2387,5.89,4.25
MG,11354,12.01,-12.54,637,5.61,4.19
PR,4923,11.99,-12.62,246,5.0,4.24
AM,145,26.43,-18.85,6,4.14,4.24
RO,243,19.37,-19.4,7,2.88,4.17
