purchase_month,order_count,customer_count,revenue,avg_order_value,avg_delivery_days,delayed_order_rate_pct,avg_review_score
2016-09,1,1,,,54.81,100.0,1.0
2016-10,265,262,46566.71,175.72,19.6,1.13,4.0
2016-12,1,1,19.62,19.62,4.69,0.0,5.0
2017-01,750,743,127545.67,170.06,12.65,1.2,4.06
2017-02,1653,1634,269458.98,163.01,13.33,4.9,4.03
2017-03,2546,2506,414369.39,162.75,12.69,6.36,4.05
2017-04,2303,2278,390952.18,169.76,14.19,6.56,3.99
2017-05,3545,3478,566872.73,159.91,11.38,7.42,4.13
2017-06,3135,3100,490225.6,156.37,12.01,5.17,4.13
2017-07,3872,3822,566403.93,146.28,11.7,5.17,4.16
2017-08,4193,4134,646000.61,154.06,11.25,4.51,4.21
2017-09,4150,4099,700976.01,168.91,11.45,5.59,4.13
2017-10,4478,4421,751140.27,167.74,11.8,5.74,4.07
2017-11,7288,7188,1153393.22,158.25,15.0,8.0,3.81
2017-12,5513,5448,843199.17,152.95,14.98,11.83,3.9
2018-01,7069,7005,1078606.86,152.58,14.06,8.01,4.07
2018-02,6555,6489,966554.97,147.45,16.24,12.45,3.78
2018-03,7003,6928,1120678.0,160.03,16.33,10.44,3.7
2018-04,6798,6731,1159698.04,170.59,11.87,6.41,4.12
2018-05,6749,6676,1153982.15,170.99,11.89,7.22,4.16
2018-06,6096,6035,1023880.5,167.96,11.22,3.59,4.22
2018-07,6156,6093,1066540.75,173.25,9.39,4.39,4.28
2018-08,6351,6310,1022425.32,160.98,7.28,2.72,4.21
