path,size_bytes
README.md,6555
UPLOAD_GUIDE.md,2817
RUN_ORDER.md,334
notebooks/01_product_data_cleaning_actual.ipynb,18208
notebooks/02_olist_base_table_design.ipynb,22887
notebooks/03_review_text_preprocessing.ipynb,26109
notebooks/04_preprocessing_validation_summary.ipynb,17763
notes/01_preprocessing_decision_log.md,1697
notes/02_base_table_design_decision_log.md,1670
notes/02_interview_talking_points.md,1744
notes/03_text_preprocessing_decision_log.md,2127
notes/03_dictionary_based_method_limitations.md,1285
notes/03_interview_talking_points.md,1967
notes/04_validation_decision_log.md,1503
notes/04_interview_talking_points.md,1779
outputs/01_product/01_dataset_schema_summary.csv,2445
outputs/01_product/01_raw_cleaned_comparison.csv,488
outputs/01_product/01_ranking_type_summary.csv,449
outputs/01_product/01_platform_preprocessing_summary.csv,278
outputs/01_product/01_duplicate_unique_product_summary.csv,347
outputs/01_product/01_cleaned_product_analysis_sample.csv,142812
outputs/02_olist/02_table_row_counts.csv,308
outputs/02_olist/02_table_schema_summary.csv,2281
outputs/02_olist/02_table_grain_summary.csv,923
outputs/02_olist/02_naive_join_risk_summary.csv,374
outputs/02_olist/02_pre_aggregation_summary.csv,436
outputs/02_olist/02_order_base_validation.csv,365
outputs/02_olist/02_order_base_monthly_kpi_sample.csv,2266
outputs/02_olist/02_item_base_validation.csv,249
outputs/02_olist/02_item_base_category_revenue_sample.csv,1495
outputs/02_olist/02_analysis_question_table_mapping.csv,1248
outputs/03_review/03_review_text_long_format.csv,3266839
outputs/03_review/03_review_category_mapping_result.csv,4179446
outputs/03_review/03_company_category_signal_summary.csv,1228
outputs/03_review/03_category_coverage_summary.csv,641
outputs/03_review/03_category_mention_summary.csv,263
outputs/03_review/03_unmatched_review_sample.csv,12050
outputs/03_review/03_review_schema_summary.csv,964
outputs/03_review/03_review_cleaning_summary.csv,372
outputs/03_review/03_dictionary_summary.csv,164
outputs/04_validation/04_product_validation_summary.csv,903
outputs/04_validation/04_olist_validation_summary.csv,981
outputs/04_validation/04_review_validation_summary.csv,990
outputs/04_validation/04_integrated_validation_summary.csv,2756
outputs/04_validation/04_final_portfolio_readiness_check.csv,1099
data/01_product/raw_integrated_ecommerce_ranking.csv,294331
data/01_product/cleaned_ecommerce_ranking.csv,363404
data/01_product/ranking_view_ecommerce.csv,363805
data/01_product/unique_product_ecommerce.csv,102581
data/01_product/preprocessing_step2_quality_check.csv,260
data/01_product/preprocessing_step2_summary.csv,635
data/02_olist/olist_ecommerce.db,207044608
data/03_review/2026-04-24-11-35-48-잡플래닛.xlsx,572745
data/03_review/260503_복합명사등록_사전_v1.xlsx,13511
data/03_review/260503_카테고리사전_v1.xlsx,21918
data/03_review/260503_표준화_사전_최종_v1.xlsx,15498
data/03_review/standard_dictionary_normalized.csv,5512
data/03_review/category_dictionary_normalized.csv,17150
data/03_review/compound_noun_dictionary_normalized.csv,3600
