platform,product_key,representative_product_name,category,brand_or_seller,appear_count,ranking_type_count,ranking_types_present,ranking_labels_present,is_in_multiple_ranking_types,best_rank,avg_rank,price_representative,price_median_across_appearances,review_count_representative,review_count_max,rating_representative,rating_median_across_appearances,rank_coupang_rank,rank_coupang_sales,rank_naver_buy_daily,rank_naver_buy_weekly,source_files
coupang,종근당 칼슘 앤 마그네슘 비타민d 아연,"종근당 정품 칼슘 앤 마그네슘 비타민D 아연, 180정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,1,1.0,13730,13730.0,181067,181067,5.0,5.0,1,1,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,아임비타 종근당건강 멀티비타민 이뮨샷 7 164 36g,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,2,17.0,13450,13450.0,8718,8718,5.0,5.0,2,32,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,고려은단 비타민c 1000 쇼핑백,"고려은단 비타민C 1000 + 쇼핑백, 180정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,3,3.0,17150,17150,280748,280748,5.0,5.0,3,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,락토핏 골드 160g,"락토핏 정품 골드 80포, 160g, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,4,4.0,18500,18500,255121,255121,5.0,5.0,4,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,그린몬스터 맥스 칼슘 마그네슘 비타민d 아연,"그린몬스터 맥스 칼슘 마그네슘 비타민D 아연 3개월분, 90정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,5,5.0,6500,6500,3757,3757,5.0,5.0,5,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,아이클리어 루테인지아잔틴,"아이클리어 루테인지아잔틴, 30정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,6,11.0,8190,28035.0,176706,176706,5.0,5.0,6,16,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,헬로바이오 맥스 비타민c 3000 30p 90g,"헬로바이오 맥스 비타민C 3000 30p, 90g, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,7,7.0,4500,4500,4269,4269,5.0,5.0,7,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,종근당건강 헬씨칸 로얄 영양제,"종근당건강 헬씨칸 로얄 영양제, 30정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,8,8.0,7000,7000,33921,33921,5.0,5.0,8,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,메가도스 d 비타민d3 4000iu,"메가도스 D 비타민D3 4000IU, 90정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,6,7.5,9900,9900.0,11813,11813,5.0,5.0,9,6,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,그린몬스터 다이어트 스페셜 2 가르시니아 900,"그린몬스터 다이어트 스페셜 2 가르시니아 900, 112정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,10,10.0,12700,12700,46685,46685,4.5,4.5,10,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,뉴트리디데이 프리미엄 칼슘 마그네슘 아연 비타민d,"뉴트리디데이 프리미엄 칼슘 마그네슘 아연 비타민D, 90정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,11,11.0,10900,10900,66991,66991,5.0,5.0,11,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬로바이오 맥스 비타민c 3000 90p 270g,"헬로바이오 맥스 비타민C 3000 90p, 270g, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,12,12.0,10000,10000,4269,4269,5.0,5.0,12,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,종근당건강 알티지 오메가3 듀얼,"종근당건강 알티지 오메가3 듀얼, 60정, 3개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,4,8.5,27360,18575.0,122909,122909,5.0,5.0,13,4,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,락토핏 키즈 유산균 120g,"락토핏 키즈 유산균, 60회분, 120g, 2개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,14,14.0,24500,24500.0,68766,68766,5.0,5.0,14,14,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,헬로바이오 혈압 항산화 케어 프리미엄 코큐텐 코엔자임q10 30g,"헬로바이오 혈압 항산화 케어 프리미엄 코큐텐 코엔자임Q10 30g, 60정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,15,44.0,9400,9400.0,1182,1182,5.0,5.0,15,73,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,잔티바 프리미엄 비타민c 1100,"잔티바 프리미엄 비타민C 1100, 20정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,16,16.0,3500,3500,1742,1742,5.0,5.0,16,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,락토핏 다이어트 유산균 60p 120g,"락토핏 다이어트 유산균 60p, 120g, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,2,9.5,15300,15300.0,13460,13460,5.0,5.0,17,2,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,베베모린 뽀롱뽀롱 뽀로로 복숭아맛 비타민c,"베베모린 뽀롱뽀롱 뽀로로 복숭아맛 비타민C, 50정, 3개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,18,22.5,6090,6090.0,14219,14219,5.0,5.0,18,27,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,락토핏 생유산균 키즈 120g,"락토핏 생유산균 키즈, 60회분, 120g, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,19,19.0,12780,12780,68766,68766,5.0,5.0,19,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,순수식품 rtg 오메가3 비타민d 1000mg,"순수식품 rTG 오메가3 비타민D 1000mg, 60정, 3개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,20,25.5,23990,23990.0,9768,9768,4.5,4.5,20,31,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,헬로바이오 프리미엄 철분제,"헬로바이오 프리미엄 철분제, 90정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,21,30.5,8400,8400.0,1172,1172,5.0,5.0,21,40,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,락토핏 생유산균 코어 120g,"락토핏 생유산균 코어, 120g, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,22,22.0,12200,12200,80335,80335,5.0,5.0,22,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,동화약품 코엔자임 큐10 코큐텐 맥스 혈압 항산화 케어 관리 조절 30g,"동화약품 코엔자임 큐10 코큐텐 맥스 혈압 항산화 케어 관리 조절 30g, 60정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,23,26.5,14450,14450.0,7456,7456,5.0,5.0,23,30,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,얼라이브 원스데일리 포 우먼 멀티비타민,"얼라이브 원스데일리 포 우먼 멀티비타민, 30정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,24,34.0,12900,12900.0,42561,42561,5.0,5.0,24,44,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,닥터린 초임계 알티지 오메가3 알파,"닥터린 정품 초임계 알티지 오메가3 알파, 30정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,25,43.5,9400,9400.0,39313,39313,5.0,5.0,25,62,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,종근당 차전자피 식이섬유 204g,"종근당 차전자피 식이섬유 30개입, 204g, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,26,26.0,18900,18900,42658,42658,4.5,4.5,26,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,오즈퓨어 호주 프로폴리스 스프레이 25ml,"오즈퓨어 호주 프로폴리스 스프레이, 2개, 25ml",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,27,27.0,15420,15420,489,489,5.0,5.0,27,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,종근당 관절연골엔 뮤코다당단백 콘드로이친 1200 플러스,"종근당 정품 관절연골엔 뮤코다당단백 콘드로이친 1200 플러스, 60정, 2개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,5,16.5,29910,29910.0,11288,11288,5.0,5.0,28,5,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,종근당건강 락토핏 생유산균 맘스 120g,"종근당건강 락토핏 생유산균 맘스, 120g, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,29,29.0,20020,20020,8452,8452,5.0,5.0,29,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,엔젯오리진 비타프레쉬 비타민 c 앤 d 3000 꾸미,"엔젯오리진 비타프레쉬 비타민 C 앤 D 3000 꾸미, 70정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,30,58.0,10870,10870.0,23129,23129,5.0,5.0,30,86,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,정관장 홍삼진고바이탈스틱 5p 쇼핑백 300g,"정관장 정품 홍삼진고바이탈스틱 5p + 쇼핑백, 300g, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,31,31.0,36000,36000,3721,3721,5.0,5.0,31,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,뉴트리디데이 프리미엄 밀크씨슬 골드 45g,"뉴트리디데이 프리미엄 밀크씨슬 골드, 90정, 45g, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,11,21.5,12900,12900.0,40423,40423,5.0,5.0,32,11,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
