platform,category,ranking_type,ranking_label,rank,product_name,product_key,price,original_price,discount_rate,discount_amount,delivery_type,review_count,rating,price_group,review_group,is_top20,duplicate_in_ranking_type,duplicate_in_platform,duplicate_overall,collected_date,source_file
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,1,"종근당 정품 칼슘 앤 마그네슘 비타민D 아연, 180정, 1개",종근당 칼슘 앤 마그네슘 비타민d 아연,13730,,0,,로켓배송,181066,5.0,low_price,high_review,True,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,2,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 1개",아임비타 종근당건강 멀티비타민 이뮨샷 7 164 36g,13450,20900.0,35,7450.0,로켓배송,8718,5.0,low_price,mid_review,True,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,3,"고려은단 비타민C 1000 + 쇼핑백, 180정, 1개",고려은단 비타민c 1000 쇼핑백,17150,,0,,로켓배송,280748,5.0,low_price,high_review,True,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,4,"락토핏 정품 골드 80포, 160g, 1개",락토핏 골드 160g,18500,28500.0,35,10000.0,로켓배송,255121,5.0,low_price,high_review,True,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,5,"그린몬스터 맥스 칼슘 마그네슘 비타민D 아연 3개월분, 90정, 1개",그린몬스터 맥스 칼슘 마그네슘 비타민d 아연,6500,20000.0,67,13500.0,로켓배송,3757,5.0,low_price,low_review,True,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,6,"아이클리어 루테인지아잔틴, 30정, 1개",아이클리어 루테인지아잔틴,8190,16900.0,51,8710.0,로켓배송,176706,5.0,low_price,high_review,True,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,7,"헬로바이오 맥스 비타민C 3000 30p, 90g, 1개",헬로바이오 맥스 비타민c 3000 30p 90g,4500,7900.0,43,3400.0,로켓배송,4269,5.0,low_price,low_review,True,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,8,"종근당건강 헬씨칸 로얄 영양제, 30정, 1개",종근당건강 헬씨칸 로얄 영양제,7000,16000.0,56,9000.0,로켓배송,33921,5.0,low_price,high_review,True,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,9,"메가도스 D 비타민D3 4000IU, 90정, 1개",메가도스 d 비타민d3 4000iu,9900,,0,,로켓배송,11813,5.0,low_price,mid_review,True,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,10,"그린몬스터 다이어트 스페셜 2 가르시니아 900, 112정, 1개",그린몬스터 다이어트 스페셜 2 가르시니아 900,12700,32000.0,60,19300.0,로켓배송,46685,4.5,low_price,high_review,True,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,11,"뉴트리디데이 프리미엄 칼슘 마그네슘 아연 비타민D, 90정, 1개",뉴트리디데이 프리미엄 칼슘 마그네슘 아연 비타민d,10900,16500.0,33,5600.0,로켓배송,66991,5.0,low_price,high_review,True,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,12,"헬로바이오 맥스 비타민C 3000 90p, 270g, 1개",헬로바이오 맥스 비타민c 3000 90p 270g,10000,19900.0,49,9900.0,로켓배송,4269,5.0,low_price,low_review,True,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,13,"종근당건강 알티지 오메가3 듀얼, 60정, 1개",종근당건강 알티지 오메가3 듀얼,9790,12900.0,24,3110.0,로켓배송,122909,5.0,low_price,high_review,True,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,14,"락토핏 키즈 유산균, 60회분, 120g, 2개",락토핏 키즈 유산균 120g,24500,49800.0,50,25300.0,로켓배송,68766,5.0,mid_price,high_review,True,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,15,"헬로바이오 혈압 항산화 케어 프리미엄 코큐텐 코엔자임Q10 30g, 60정, 1개",헬로바이오 혈압 항산화 케어 프리미엄 코큐텐 코엔자임q10 30g,9400,9900.0,5,500.0,로켓배송,1182,5.0,low_price,low_review,True,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,16,"잔티바 프리미엄 비타민C 1100, 20정, 1개",잔티바 프리미엄 비타민c 1100,3500,,0,,로켓배송,1742,5.0,low_price,low_review,True,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,17,"락토핏 다이어트 유산균 60p, 120g, 1개",락토핏 다이어트 유산균 60p 120g,15300,25900.0,40,10600.0,로켓배송,13460,5.0,low_price,mid_review,True,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,18,"베베모린 뽀롱뽀롱 뽀로로 복숭아맛 비타민C, 50정, 3개",베베모린 뽀롱뽀롱 뽀로로 복숭아맛 비타민c,6090,,0,,로켓배송,14219,5.0,low_price,mid_review,True,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,19,"락토핏 생유산균 키즈, 60회분, 120g, 1개",락토핏 생유산균 키즈 120g,12780,,0,,로켓배송,68766,5.0,low_price,high_review,True,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,20,"순수식품 rTG 오메가3 비타민D 1000mg, 60정, 3개",순수식품 rtg 오메가3 비타민d 1000mg,23990,45000.0,46,21010.0,판매자로켓,9768,4.5,mid_price,mid_review,True,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,21,"헬로바이오 프리미엄 철분제, 90정, 1개",헬로바이오 프리미엄 철분제,8400,,0,,로켓배송,1172,5.0,low_price,low_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,22,"락토핏 생유산균 코어, 120g, 1개",락토핏 생유산균 코어 120g,12200,,0,,로켓배송,80335,5.0,low_price,high_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,23,"동화약품 코엔자임 큐10 코큐텐 맥스 혈압 항산화 케어 관리 조절 30g, 60정, 1개",동화약품 코엔자임 큐10 코큐텐 맥스 혈압 항산화 케어 관리 조절 30g,14450,30000.0,51,15550.0,로켓배송,7456,5.0,low_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,24,"얼라이브 원스데일리 포 우먼 멀티비타민, 30정, 1개",얼라이브 원스데일리 포 우먼 멀티비타민,12900,,0,,로켓배송,42561,5.0,low_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,25,"닥터린 정품 초임계 알티지 오메가3 알파, 30정, 1개",닥터린 초임계 알티지 오메가3 알파,9400,12300.0,23,2900.0,로켓배송,39313,5.0,low_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,26,"종근당 차전자피 식이섬유 30개입, 204g, 1개",종근당 차전자피 식이섬유 204g,18900,32000.0,40,13100.0,로켓배송,42658,4.5,low_price,high_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,27,"오즈퓨어 호주 프로폴리스 스프레이, 2개, 25ml",오즈퓨어 호주 프로폴리스 스프레이 25ml,15420,23000.0,32,7580.0,판매자로켓,489,5.0,low_price,low_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,28,"종근당 정품 관절연골엔 뮤코다당단백 콘드로이친 1200 플러스, 60정, 2개",종근당 관절연골엔 뮤코다당단백 콘드로이친 1200 플러스,29910,60000.0,50,30090.0,로켓배송,11288,5.0,mid_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,29,"종근당건강 락토핏 생유산균 맘스, 120g, 1개",종근당건강 락토핏 생유산균 맘스 120g,20020,,0,,로켓배송,8452,5.0,mid_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,30,"엔젯오리진 비타프레쉬 비타민 C 앤 D 3000 꾸미, 70정, 1개",엔젯오리진 비타프레쉬 비타민 c 앤 d 3000 꾸미,10870,18900.0,42,8030.0,로켓배송,23129,5.0,low_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,31,"정관장 정품 홍삼진고바이탈스틱 5p + 쇼핑백, 300g, 1개",정관장 홍삼진고바이탈스틱 5p 쇼핑백 300g,36000,45000.0,20,9000.0,로켓배송,3721,5.0,mid_price,low_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,32,"뉴트리디데이 프리미엄 밀크씨슬 골드, 90정, 45g, 1개",뉴트리디데이 프리미엄 밀크씨슬 골드 45g,12900,23160.0,44,10260.0,로켓배송,40423,5.0,low_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,33,"센트룸 정품 멀티 구미 비타민, 80정, 1개",센트룸 멀티 구미 비타민,21230,26000.0,18,4770.0,로켓배송,45697,5.0,mid_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,34,"뉴트리디데이 다이어트 키토산 올뉴, 90정, 1개",뉴트리디데이 다이어트 키토산 올뉴,10900,16500.0,33,5600.0,로켓배송,16540,4.0,low_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,35,"담백하루 정품 초임계 알티지 오메가에센스 1000, 30정, 2개",담백하루 초임계 알티지 오메가에센스 1000,31370,60000.0,47,28630.0,로켓배송,12348,5.0,mid_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,36,"네이처드림 활력에 좋은 비타민B 컴플렉스, 30정, 1개",네이처드림 활력에 좋은 비타민b 컴플렉스,4440,,0,,로켓배송,378,4.5,low_price,low_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,37,"비타할로 비타민D 2000IU, 90정, 1개",비타할로 비타민d 2000iu,4990,10200.0,51,5210.0,로켓배송,9058,5.0,low_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
