product_category,order_item_count,order_count,item_revenue,avg_item_price,avg_review_score
health_beauty,9465,8647,1233131.72,130.28333016376124,4.189729135644899
watches_gifts,5859,5495,1166176.98,199.04027649769586,4.071711092003439
bed_bath_table,10953,9272,1023434.76,93.43876198301835,3.923968239313083
sports_leisure,8431,7530,954852.55,113.25495789348832,4.165492957746479
computers_accessories,7644,6530,888724.61,116.26433935112506,3.986461619348055
furniture_decor,8160,6307,711927.6900000001,87.24604044117648,3.9537747524752476
housewares,6795,5743,615628.69,90.60024871228843,4.107904085257549
cool_stuff,3718,3559,610204.1,164.12159763313608,4.194903767958796
auto,4140,3810,578966.65,139.84701690821257,4.116003903391071
toys,4030,3804,471286.48,116.94453598014888,4.208927231807952
garden_tools,4268,3448,470495.27999999997,110.23788191190252,4.084316037735849
baby,2982,2809,400421.84,134.27962441314554,4.0782358905035485
perfumery,3340,3086,390144.65,116.8097754491018,4.219735656353259
telephony,4430,4093,309860.23,69.94587584650112,3.9943233424159854
office_furniture,1668,1254,268154.31,160.7639748201439,3.5133010882708584
stationery,2466,2264,223788.69,90.74967153284672,4.245818033455732
computers,199,177,218684.14,1098.9152763819095,4.219387755102041
pet_shop,1924,1688,211695.64,110.02891891891893,4.216710182767624
musical_instruments,651,611,184315.74,283.12709677419355,4.221705426356589
small_appliances,658,609,182754.12,277.74182370820665,4.225114854517611
