table,column_count,columns
category_translation,2,"product_category_name, product_category_name_english"
customers,5,"customer_id, customer_unique_id, customer_zip_code_prefix, customer_city, customer_state"
geolocation,5,"geolocation_zip_code_prefix, geolocation_lat, geolocation_lng, geolocation_city, geolocation_state"
order_base_delivered,22,"order_id, customer_id, customer_unique_id, customer_city, customer_state, order_status, order_purchase_timestamp, purchase_date, purchase_year, purchase_month, purchase_dayofweek, order_approved_at, order_delivered_carrier_date, order_delivered_customer_date, order_estimated_delivery_date, delivery_days, delay_days, is_delayed, payment_value, payment_row_count, review_score, review_row_count"
order_item_base_delivered,19,"order_id, customer_id, customer_unique_id, customer_city, customer_state, purchase_year, purchase_month, delivery_days, delay_days, is_delayed, order_item_id, product_id, seller_id, price, freight_value, product_category, seller_city, seller_state, review_score"
order_items,7,"order_id, order_item_id, product_id, seller_id, shipping_limit_date, price, freight_value"
order_payments,5,"order_id, payment_sequential, payment_type, payment_installments, payment_value"
order_reviews,7,"review_id, order_id, review_score, review_comment_title, review_comment_message, review_creation_date, review_answer_timestamp"
orders,8,"order_id, customer_id, order_status, order_purchase_timestamp, order_approved_at, order_delivered_carrier_date, order_delivered_customer_date, order_estimated_delivery_date"
orders_enriched,15,"order_id, customer_id, order_status, order_purchase_timestamp, order_approved_at, order_delivered_carrier_date, order_delivered_customer_date, order_estimated_delivery_date, purchase_date, purchase_year, purchase_month, purchase_dayofweek, delivery_days, delay_days, is_delayed"
payment_by_order,4,"order_id, payment_value, payment_row_count, payment_type_count"
products,9,"product_id, product_category_name, product_name_lenght, product_description_lenght, product_photos_qty, product_weight_g, product_length_cm, product_height_cm, product_width_cm"
review_by_order,3,"order_id, review_score, review_row_count"
sellers,4,"seller_id, seller_zip_code_prefix, seller_city, seller_state"
