company,review_count,text_segment_count,matched_text_segment_count,avg_text_length,cat_복지,cat_사내문화·동료,cat_성장가능성·커리어,cat_안정성·고용보장,cat_연봉,cat_워라밸·근무환경,cat_직무적합성,category_match_rate,improvement_context,negative_context,neutral,positive_context
CJ제일제당,200,800,648,43.47,232,213,154,94,169,186,125,81.0,200,200,200,200
KT,200,800,663,41.12,112,274,252,193,143,197,115,82.88,200,200,200,200
LG전자,200,800,645,41.91,132,253,188,106,202,185,98,80.62,200,200,200,200
LG화학,50,200,157,40.8,29,61,51,27,37,46,15,78.5,50,50,50,50
SK텔레콤,50,200,173,53.5,56,73,60,47,27,57,37,86.5,50,50,50,50
SK하이닉스,200,800,628,35.73,200,212,144,69,251,180,73,78.5,200,200,200,200
네이버,200,800,645,39.39,156,295,219,102,70,223,124,80.62,200,200,200,200
롯데쇼핑,200,800,604,39.56,208,188,78,115,128,214,103,75.5,200,200,200,200
삼성전자,200,800,640,43.34,204,247,170,86,223,159,103,80.0,200,200,200,200
카카오,200,800,680,44.31,162,376,206,92,87,242,120,85.0,200,200,200,200
포스코,200,800,690,47.22,162,300,139,131,267,211,95,86.25,200,200,200,200
현대자동차,200,800,661,40.5,152,216,182,119,198,247,98,82.62,200,200,200,200
