product_type_clean,axis,label,count,ratio,base_n
기타/제외 후보,context,제로/저당/다이어트,20,0.7692307692307693,26
기타/제외 후보,context,일상 음료,9,0.34615384615384615,26
기타/제외 후보,context,감기/몸살/컨디션 회복,6,0.23076923076923078,26
기타/제외 후보,context,더위/갈증/수분보충,5,0.19230769230769232,26
기타/제외 후보,context,운동/러닝/헬스,4,0.15384615384615385,26
기타/제외 후보,context,어린이/가족,3,0.11538461538461539,26
기타/제외 후보,context,숙취/해장,1,0.038461538461538464,26
이온음료/대체재 비교군,context,제로/저당/다이어트,46,0.7796610169491526,59
이온음료/대체재 비교군,context,운동/러닝/헬스,39,0.6610169491525424,59
이온음료/대체재 비교군,context,더위/갈증/수분보충,37,0.6271186440677966,59
이온음료/대체재 비교군,context,일상 음료,27,0.4576271186440678,59
이온음료/대체재 비교군,context,감기/몸살/컨디션 회복,12,0.2033898305084746,59
이온음료/대체재 비교군,context,어린이/가족,10,0.1694915254237288,59
이온음료/대체재 비교군,context,숙취/해장,1,0.01694915254237288,59
포카리스웨트 직접 언급 - 일반,context,운동/러닝/헬스,122,0.4468864468864469,273
포카리스웨트 직접 언급 - 일반,context,감기/몸살/컨디션 회복,119,0.4358974358974359,273
포카리스웨트 직접 언급 - 일반,context,더위/갈증/수분보충,111,0.4065934065934066,273
포카리스웨트 직접 언급 - 일반,context,일상 음료,90,0.32967032967032966,273
포카리스웨트 직접 언급 - 일반,context,숙취/해장,56,0.20512820512820512,273
포카리스웨트 직접 언급 - 일반,context,어린이/가족,47,0.17216117216117216,273
포카리스웨트 직접 언급 - 일반,context,제로/저당/다이어트,0,0.0,273
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,제로/저당/다이어트,208,1.0,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,일상 음료,113,0.5432692307692307,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,더위/갈증/수분보충,110,0.5288461538461539,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,운동/러닝/헬스,101,0.4855769230769231,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,감기/몸살/컨디션 회복,98,0.47115384615384615,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,어린이/가족,57,0.27403846153846156,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,숙취/해장,51,0.24519230769230768,208
