product_type_clean,axis,label,count,ratio,base_n
기타/제외 후보,context,제로/저당/다이어트,5,1.0,5
기타/제외 후보,context,일상 음료,3,0.6,5
기타/제외 후보,context,운동/러닝/헬스,2,0.4,5
기타/제외 후보,context,더위/갈증/수분보충,2,0.4,5
기타/제외 후보,context,감기/몸살/컨디션 회복,1,0.2,5
기타/제외 후보,context,어린이/가족,1,0.2,5
기타/제외 후보,context,숙취/해장,0,0.0,5
이온음료/대체재 비교군,context,운동/러닝/헬스,14,1.0,14
이온음료/대체재 비교군,context,더위/갈증/수분보충,14,1.0,14
이온음료/대체재 비교군,context,일상 음료,14,1.0,14
이온음료/대체재 비교군,context,제로/저당/다이어트,13,0.9285714285714286,14
이온음료/대체재 비교군,context,감기/몸살/컨디션 회복,7,0.5,14
이온음료/대체재 비교군,context,어린이/가족,5,0.35714285714285715,14
이온음료/대체재 비교군,context,숙취/해장,0,0.0,14
포카리스웨트 직접 언급 - 일반,context,일상 음료,25,0.6756756756756757,37
포카리스웨트 직접 언급 - 일반,context,감기/몸살/컨디션 회복,22,0.5945945945945946,37
포카리스웨트 직접 언급 - 일반,context,더위/갈증/수분보충,21,0.5675675675675675,37
포카리스웨트 직접 언급 - 일반,context,운동/러닝/헬스,18,0.4864864864864865,37
포카리스웨트 직접 언급 - 일반,context,어린이/가족,16,0.43243243243243246,37
포카리스웨트 직접 언급 - 일반,context,숙취/해장,15,0.40540540540540543,37
포카리스웨트 직접 언급 - 일반,context,제로/저당/다이어트,0,0.0,37
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,제로/저당/다이어트,93,1.0,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,일상 음료,78,0.8387096774193549,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,감기/몸살/컨디션 회복,74,0.7956989247311828,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,운동/러닝/헬스,67,0.7204301075268817,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,더위/갈증/수분보충,67,0.7204301075268817,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,어린이/가족,45,0.4838709677419355,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,숙취/해장,39,0.41935483870967744,93
