product_type_clean,axis,label,count,ratio,base_n
기타/제외 후보,context,제로/저당/다이어트,15,0.7142857142857143,21
기타/제외 후보,context,일상 음료,6,0.2857142857142857,21
기타/제외 후보,context,감기/몸살/컨디션 회복,5,0.23809523809523808,21
기타/제외 후보,context,더위/갈증/수분보충,3,0.14285714285714285,21
기타/제외 후보,context,운동/러닝/헬스,2,0.09523809523809523,21
기타/제외 후보,context,어린이/가족,2,0.09523809523809523,21
기타/제외 후보,context,숙취/해장,1,0.047619047619047616,21
이온음료/대체재 비교군,context,제로/저당/다이어트,33,0.7333333333333333,45
이온음료/대체재 비교군,context,운동/러닝/헬스,25,0.5555555555555556,45
이온음료/대체재 비교군,context,더위/갈증/수분보충,23,0.5111111111111111,45
이온음료/대체재 비교군,context,일상 음료,13,0.28888888888888886,45
이온음료/대체재 비교군,context,감기/몸살/컨디션 회복,5,0.1111111111111111,45
이온음료/대체재 비교군,context,어린이/가족,5,0.1111111111111111,45
이온음료/대체재 비교군,context,숙취/해장,1,0.022222222222222223,45
포카리스웨트 직접 언급 - 일반,context,운동/러닝/헬스,104,0.4406779661016949,236
포카리스웨트 직접 언급 - 일반,context,감기/몸살/컨디션 회복,97,0.4110169491525424,236
포카리스웨트 직접 언급 - 일반,context,더위/갈증/수분보충,90,0.3813559322033898,236
포카리스웨트 직접 언급 - 일반,context,일상 음료,65,0.2754237288135593,236
포카리스웨트 직접 언급 - 일반,context,숙취/해장,41,0.17372881355932204,236
포카리스웨트 직접 언급 - 일반,context,어린이/가족,31,0.13135593220338984,236
포카리스웨트 직접 언급 - 일반,context,제로/저당/다이어트,0,0.0,236
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,제로/저당/다이어트,115,1.0,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,더위/갈증/수분보충,43,0.3739130434782609,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,일상 음료,35,0.30434782608695654,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,운동/러닝/헬스,34,0.2956521739130435,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,감기/몸살/컨디션 회복,24,0.20869565217391303,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,숙취/해장,12,0.10434782608695652,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,context,어린이/가족,12,0.10434782608695652,115
