product_type_clean,axis,label,count,ratio,base_n
기타/제외 후보,cx_signal,재구매/추천,5,1.0,5
기타/제외 후보,cx_signal,구매 계기,4,0.8,5
기타/제외 후보,cx_signal,불만/개선점,3,0.6,5
기타/제외 후보,cx_signal,편의점/채널 언급,2,0.4,5
기타/제외 후보,cx_signal,캠페인/광고 언급,1,0.2,5
이온음료/대체재 비교군,cx_signal,재구매/추천,14,1.0,14
이온음료/대체재 비교군,cx_signal,구매 계기,12,0.8571428571428571,14
이온음료/대체재 비교군,cx_signal,불만/개선점,8,0.5714285714285714,14
이온음료/대체재 비교군,cx_signal,편의점/채널 언급,7,0.5,14
이온음료/대체재 비교군,cx_signal,캠페인/광고 언급,5,0.35714285714285715,14
포카리스웨트 직접 언급 - 일반,cx_signal,구매 계기,29,0.7837837837837838,37
포카리스웨트 직접 언급 - 일반,cx_signal,재구매/추천,23,0.6216216216216216,37
포카리스웨트 직접 언급 - 일반,cx_signal,편의점/채널 언급,19,0.5135135135135135,37
포카리스웨트 직접 언급 - 일반,cx_signal,불만/개선점,15,0.40540540540540543,37
포카리스웨트 직접 언급 - 일반,cx_signal,캠페인/광고 언급,13,0.35135135135135137,37
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,재구매/추천,74,0.7956989247311828,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,구매 계기,56,0.6021505376344086,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,불만/개선점,49,0.5268817204301075,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,캠페인/광고 언급,38,0.40860215053763443,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,편의점/채널 언급,33,0.3548387096774194,93
