product_type_clean,axis,label,count,ratio,base_n
포카리스웨트 직접 언급 - 일반,cx_signal,구매 계기,106,0.3882783882783883,273
포카리스웨트 직접 언급 - 일반,cx_signal,재구매/추천,100,0.3663003663003663,273
포카리스웨트 직접 언급 - 일반,cx_signal,편의점/채널 언급,67,0.2454212454212454,273
포카리스웨트 직접 언급 - 일반,cx_signal,불만/개선점,40,0.14652014652014653,273
포카리스웨트 직접 언급 - 일반,cx_signal,캠페인/광고 언급,32,0.11721611721611722,273
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,재구매/추천,116,0.5576923076923077,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,구매 계기,84,0.40384615384615385,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,불만/개선점,56,0.2692307692307692,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,편의점/채널 언급,50,0.2403846153846154,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,캠페인/광고 언급,44,0.21153846153846154,208
