product_type_clean,axis,label,count,ratio,base_n
기타/제외 후보,cx_signal,구매 계기,13,0.6190476190476191,21
기타/제외 후보,cx_signal,재구매/추천,7,0.3333333333333333,21
기타/제외 후보,cx_signal,편의점/채널 언급,5,0.23809523809523808,21
기타/제외 후보,cx_signal,불만/개선점,4,0.19047619047619047,21
기타/제외 후보,cx_signal,캠페인/광고 언급,1,0.047619047619047616,21
이온음료/대체재 비교군,cx_signal,재구매/추천,41,0.9111111111111111,45
이온음료/대체재 비교군,cx_signal,구매 계기,16,0.35555555555555557,45
이온음료/대체재 비교군,cx_signal,편의점/채널 언급,7,0.15555555555555556,45
이온음료/대체재 비교군,cx_signal,불만/개선점,6,0.13333333333333333,45
이온음료/대체재 비교군,cx_signal,캠페인/광고 언급,2,0.044444444444444446,45
포카리스웨트 직접 언급 - 일반,cx_signal,구매 계기,77,0.326271186440678,236
포카리스웨트 직접 언급 - 일반,cx_signal,재구매/추천,77,0.326271186440678,236
포카리스웨트 직접 언급 - 일반,cx_signal,편의점/채널 언급,48,0.2033898305084746,236
포카리스웨트 직접 언급 - 일반,cx_signal,불만/개선점,25,0.1059322033898305,236
포카리스웨트 직접 언급 - 일반,cx_signal,캠페인/광고 언급,19,0.08050847457627118,236
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,재구매/추천,42,0.3652173913043478,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,구매 계기,28,0.24347826086956523,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,편의점/채널 언급,17,0.14782608695652175,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,불만/개선점,7,0.06086956521739131,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,cx_signal,캠페인/광고 언급,6,0.05217391304347826,115
