product_type_clean,axis,label,count,ratio,base_n
기타/제외 후보,product_signal,맛,20,0.7692307692307693,26
기타/제외 후보,product_signal,당/칼로리,20,0.7692307692307693,26
기타/제외 후보,product_signal,가격,14,0.5384615384615384,26
기타/제외 후보,product_signal,용량/패키지,13,0.5,26
기타/제외 후보,product_signal,대체재 비교,10,0.38461538461538464,26
기타/제외 후보,product_signal,브랜드 신뢰,4,0.15384615384615385,26
기타/제외 후보,product_signal,기능감/효과,2,0.07692307692307693,26
이온음료/대체재 비교군,product_signal,당/칼로리,50,0.847457627118644,59
이온음료/대체재 비교군,product_signal,맛,40,0.6779661016949152,59
이온음료/대체재 비교군,product_signal,기능감/효과,40,0.6779661016949152,59
이온음료/대체재 비교군,product_signal,대체재 비교,35,0.5932203389830508,59
이온음료/대체재 비교군,product_signal,용량/패키지,31,0.5254237288135594,59
이온음료/대체재 비교군,product_signal,브랜드 신뢰,17,0.288135593220339,59
이온음료/대체재 비교군,product_signal,가격,13,0.22033898305084745,59
포카리스웨트 직접 언급 - 일반,product_signal,기능감/효과,152,0.5567765567765568,273
포카리스웨트 직접 언급 - 일반,product_signal,용량/패키지,125,0.45787545787545786,273
포카리스웨트 직접 언급 - 일반,product_signal,맛,118,0.43223443223443225,273
포카리스웨트 직접 언급 - 일반,product_signal,당/칼로리,60,0.21978021978021978,273
포카리스웨트 직접 언급 - 일반,product_signal,대체재 비교,55,0.20146520146520147,273
포카리스웨트 직접 언급 - 일반,product_signal,가격,53,0.19413919413919414,273
포카리스웨트 직접 언급 - 일반,product_signal,브랜드 신뢰,39,0.14285714285714285,273
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,당/칼로리,206,0.9903846153846154,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,용량/패키지,140,0.6730769230769231,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,기능감/효과,129,0.6201923076923077,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,맛,125,0.6009615384615384,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,대체재 비교,105,0.5048076923076923,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,가격,77,0.3701923076923077,208
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,브랜드 신뢰,58,0.27884615384615385,208
