product_type_clean,axis,label,count,ratio,base_n
기타/제외 후보,product_signal,맛,5,1.0,5
기타/제외 후보,product_signal,당/칼로리,5,1.0,5
기타/제외 후보,product_signal,가격,4,0.8,5
기타/제외 후보,product_signal,용량/패키지,4,0.8,5
기타/제외 후보,product_signal,대체재 비교,4,0.8,5
기타/제외 후보,product_signal,브랜드 신뢰,3,0.6,5
기타/제외 후보,product_signal,기능감/효과,1,0.2,5
이온음료/대체재 비교군,product_signal,맛,14,1.0,14
이온음료/대체재 비교군,product_signal,당/칼로리,14,1.0,14
이온음료/대체재 비교군,product_signal,기능감/효과,14,1.0,14
이온음료/대체재 비교군,product_signal,용량/패키지,13,0.9285714285714286,14
이온음료/대체재 비교군,product_signal,대체재 비교,13,0.9285714285714286,14
이온음료/대체재 비교군,product_signal,브랜드 신뢰,10,0.7142857142857143,14
이온음료/대체재 비교군,product_signal,가격,8,0.5714285714285714,14
포카리스웨트 직접 언급 - 일반,product_signal,맛,29,0.7837837837837838,37
포카리스웨트 직접 언급 - 일반,product_signal,기능감/효과,27,0.7297297297297297,37
포카리스웨트 직접 언급 - 일반,product_signal,용량/패키지,25,0.6756756756756757,37
포카리스웨트 직접 언급 - 일반,product_signal,당/칼로리,21,0.5675675675675675,37
포카리스웨트 직접 언급 - 일반,product_signal,대체재 비교,16,0.43243243243243246,37
포카리스웨트 직접 언급 - 일반,product_signal,가격,15,0.40540540540540543,37
포카리스웨트 직접 언급 - 일반,product_signal,브랜드 신뢰,15,0.40540540540540543,37
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,당/칼로리,93,1.0,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,맛,82,0.8817204301075269,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,용량/패키지,81,0.8709677419354839,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,기능감/효과,75,0.8064516129032258,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,대체재 비교,60,0.6451612903225806,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,브랜드 신뢰,46,0.4946236559139785,93
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,가격,45,0.4838709677419355,93
