product_type_clean,axis,label,count,ratio,base_n
기타/제외 후보,product_signal,맛,15,0.7142857142857143,21
기타/제외 후보,product_signal,당/칼로리,15,0.7142857142857143,21
기타/제외 후보,product_signal,가격,10,0.47619047619047616,21
기타/제외 후보,product_signal,용량/패키지,9,0.42857142857142855,21
기타/제외 후보,product_signal,대체재 비교,6,0.2857142857142857,21
기타/제외 후보,product_signal,기능감/효과,1,0.047619047619047616,21
기타/제외 후보,product_signal,브랜드 신뢰,1,0.047619047619047616,21
이온음료/대체재 비교군,product_signal,당/칼로리,36,0.8,45
이온음료/대체재 비교군,product_signal,맛,26,0.5777777777777777,45
이온음료/대체재 비교군,product_signal,기능감/효과,26,0.5777777777777777,45
이온음료/대체재 비교군,product_signal,대체재 비교,22,0.4888888888888889,45
이온음료/대체재 비교군,product_signal,용량/패키지,18,0.4,45
이온음료/대체재 비교군,product_signal,브랜드 신뢰,7,0.15555555555555556,45
이온음료/대체재 비교군,product_signal,가격,5,0.1111111111111111,45
포카리스웨트 직접 언급 - 일반,product_signal,기능감/효과,125,0.5296610169491526,236
포카리스웨트 직접 언급 - 일반,product_signal,용량/패키지,100,0.423728813559322,236
포카리스웨트 직접 언급 - 일반,product_signal,맛,89,0.3771186440677966,236
포카리스웨트 직접 언급 - 일반,product_signal,당/칼로리,39,0.1652542372881356,236
포카리스웨트 직접 언급 - 일반,product_signal,대체재 비교,39,0.1652542372881356,236
포카리스웨트 직접 언급 - 일반,product_signal,가격,38,0.16101694915254236,236
포카리스웨트 직접 언급 - 일반,product_signal,브랜드 신뢰,24,0.1016949152542373,236
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,당/칼로리,113,0.9826086956521739,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,용량/패키지,59,0.5130434782608696,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,기능감/효과,54,0.46956521739130436,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,대체재 비교,45,0.391304347826087,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,맛,43,0.3739130434782609,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,가격,32,0.2782608695652174,115
포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,product_signal,브랜드 신뢰,12,0.10434782608695652,115
