query,product_type_clean,count
이온음료 추천,기타/제외 후보,1
이온음료 추천,이온음료/대체재 비교군,49
이온음료 추천,포카리스웨트 직접 언급 - 일반,1
이온음료 추천,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,5
포카리스웨트,포카리스웨트 직접 언급 - 일반,32
포카리스웨트,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,28
포카리스웨트 감기,기타/제외 후보,1
포카리스웨트 감기,포카리스웨트 직접 언급 - 일반,30
포카리스웨트 감기,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,11
포카리스웨트 러닝,기타/제외 후보,1
포카리스웨트 러닝,포카리스웨트 직접 언급 - 일반,46
포카리스웨트 러닝,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,7
포카리스웨트 숙취,기타/제외 후보,1
포카리스웨트 숙취,이온음료/대체재 비교군,1
포카리스웨트 숙취,포카리스웨트 직접 언급 - 일반,35
포카리스웨트 숙취,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,13
포카리스웨트 운동,포카리스웨트 직접 언급 - 일반,13
포카리스웨트 운동,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,16
포카리스웨트 장염,이온음료/대체재 비교군,1
포카리스웨트 장염,포카리스웨트 직접 언급 - 일반,38
포카리스웨트 장염,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,10
포카리스웨트 제로,기타/제외 후보,11
포카리스웨트 제로,이온음료/대체재 비교군,3
포카리스웨트 제로,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,42
포카리스웨트 제로 후기,기타/제외 후보,10
포카리스웨트 제로 후기,이온음료/대체재 비교군,5
포카리스웨트 제로 후기,포카리스웨트 직접 언급 - 일반,1
포카리스웨트 제로 후기,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,23
포카리스웨트 칼로리,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,36
포카리스웨트 편의점,기타/제외 후보,1
포카리스웨트 편의점,포카리스웨트 직접 언급 - 일반,35
포카리스웨트 편의점,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,6
포카리스웨트 후기,포카리스웨트 직접 언급 - 일반,42
포카리스웨트 후기,포카리스웨트 직접 언급 - 제로/저당/칼로리 관심,11
