check,value,expected,status,note
users row count,12000,> 0,PASS,
sessions row count,30000,> 0,PASS,
events row count,168129,> 0,PASS,
orders row count,2195,> 0,PASS,
events.session_id exists in sessions,0,0,PASS,
sessions.user_id exists in users,0,0,PASS,
orders.user_id exists in users,0,0,PASS,
order_items.order_id exists in orders,0,0,PASS,
order_items.product_id exists in products,0,0,PASS,
purchase event sessions equal order sessions,2195,2195,PASS,
orders.gross_revenue matches order_items sum,0,0,PASS,
