event_id,user_id,event_time,event_name,service_category,provider_id,session_id,device,ab_group
E000001,U0001,2026-03-01 12:00:00,visit,이사,P002,SU0001_1,desktop,B
E000002,U0001,2026-03-01 12:01:00,search,이사,P002,SU0001_1,desktop,B
E000003,U0001,2026-03-01 12:02:00,view_provider,이사,P002,SU0001_1,desktop,B
E000004,U0001,2026-03-01 12:03:00,start_request,이사,P002,SU0001_1,desktop,B
E000005,U0002,2026-05-22 18:04:00,visit,사진촬영,P067,SU0002_1,mobile,A
E000006,U0002,2026-05-22 18:05:00,search,사진촬영,P067,SU0002_1,mobile,A
E000007,U0002,2026-05-22 18:06:00,view_provider,사진촬영,P067,SU0002_1,mobile,A
E000008,U0002,2026-05-22 18:00:00,start_request,사진촬영,P067,SU0002_1,mobile,A
E000009,U0002,2026-05-22 18:01:00,submit_request,사진촬영,P067,SU0002_1,mobile,A
E000010,U0002,2026-05-22 21:35:00,view_quote,사진촬영,P067,SU0002_1,mobile,A
E000011,U0003,2026-04-15 09:03:00,visit,운동,P003,SU0003_1,desktop,B
E000012,U0003,2026-04-15 09:04:00,search,운동,P003,SU0003_1,desktop,B
E000013,U0003,2026-04-15 09:05:00,view_provider,운동,P003,SU0003_1,desktop,B
E000014,U0003,2026-04-02 14:06:00,visit,운동,P028,SU0003_2,mobile,A
E000015,U0003,2026-03-13 19:00:00,visit,이사,P034,SU0003_3,mobile,A
E000016,U0003,2026-04-24 12:01:00,visit,사진촬영,P055,SU0003_4,desktop,B
E000017,U0004,2026-02-25 12:02:00,visit,운동,P018,SU0004_1,mobile,B
E000018,U0004,2026-02-25 12:03:00,search,운동,P018,SU0004_1,mobile,B
E000019,U0004,2026-02-25 12:04:00,view_provider,운동,P018,SU0004_1,mobile,B
E000020,U0004,2026-02-25 12:05:00,start_request,운동,P018,SU0004_1,mobile,B
E000021,U0004,2026-02-25 12:06:00,submit_request,운동,P018,SU0004_1,mobile,B
E000022,U0004,2026-02-25 15:22:00,view_quote,운동,P018,SU0004_1,mobile,B
E000023,U0004,2026-02-26 13:13:00,complete_transaction,운동,P018,SU0004_1,mobile,B
E000024,U0005,2026-04-03 17:02:00,visit,청소,P061,SU0005_1,mobile,A
E000025,U0005,2026-04-03 17:03:00,search,청소,P061,SU0005_1,mobile,A
E000026,U0005,2026-04-03 17:04:00,view_provider,청소,P061,SU0005_1,mobile,A
E000027,U0005,2026-04-03 17:05:00,start_request,청소,P061,SU0005_1,mobile,A
E000028,U0005,2026-04-03 17:06:00,submit_request,청소,P061,SU0005_1,mobile,A
E000029,U0005,2026-04-03 18:12:00,view_quote,청소,P061,SU0005_1,mobile,A
E000030,U0005,2026-02-14 17:01:00,visit,운동,P075,SU0005_2,mobile,B
E000031,U0005,2026-02-14 17:02:00,search,운동,P075,SU0005_2,mobile,B
E000032,U0005,2026-03-22 09:03:00,visit,청소,P033,SU0005_3,mobile,B
E000033,U0006,2026-04-27 16:04:00,visit,과외,P078,SU0006_1,mobile,B
E000034,U0006,2026-04-27 16:05:00,search,과외,P078,SU0006_1,mobile,B
E000035,U0006,2026-04-27 16:06:00,view_provider,과외,P078,SU0006_1,mobile,B
E000036,U0006,2026-04-27 16:00:00,start_request,과외,P078,SU0006_1,mobile,B
E000037,U0006,2026-04-27 16:01:00,submit_request,과외,P078,SU0006_1,mobile,B
E000038,U0006,2026-04-27 17:56:00,view_quote,과외,P078,SU0006_1,mobile,B
E000039,U0006,2026-04-27 23:14:00,complete_transaction,과외,P078,SU0006_1,mobile,B
E000040,U0006,2026-05-03 22:04:00,visit,이사,P033,SU0006_2,mobile,B
E000041,U0006,2026-05-03 22:05:00,search,이사,P033,SU0006_2,mobile,B
E000042,U0006,2026-05-03 22:06:00,view_provider,이사,P033,SU0006_2,mobile,B
E000043,U0007,2026-01-26 11:00:00,visit,사진촬영,P076,SU0007_1,desktop,B
E000044,U0008,2026-05-22 20:01:00,visit,이사,P059,SU0008_1,mobile,A
E000045,U0008,2026-05-22 20:02:00,search,이사,P059,SU0008_1,mobile,A
E000046,U0008,2026-05-22 20:03:00,view_provider,이사,P059,SU0008_1,mobile,A
E000047,U0008,2026-03-04 22:04:00,visit,청소,P043,SU0008_2,mobile,B
E000048,U0009,2026-02-13 11:05:00,visit,과외,P043,SU0009_1,desktop,A
E000049,U0009,2026-02-13 11:06:00,search,과외,P043,SU0009_1,desktop,A
E000050,U0009,2026-02-12 14:00:00,visit,사진촬영,P074,SU0009_2,desktop,B
E000051,U0009,2026-02-12 14:01:00,search,사진촬영,P074,SU0009_2,desktop,B
E000052,U0009,2026-02-12 14:02:00,view_provider,사진촬영,P074,SU0009_2,desktop,B
E000053,U0009,2026-01-25 16:03:00,visit,이사,P041,SU0009_3,mobile,A
E000054,U0009,2026-02-20 20:04:00,visit,과외,P034,SU0009_4,mobile,A
E000055,U0009,2026-02-20 20:05:00,search,과외,P034,SU0009_4,mobile,A
E000056,U0009,2026-04-07 14:06:00,visit,청소,P019,SU0009_5,desktop,B
E000057,U0009,2026-04-07 14:00:00,search,청소,P019,SU0009_5,desktop,B
E000058,U0009,2026-04-07 14:01:00,view_provider,청소,P019,SU0009_5,desktop,B
E000059,U0009,2026-04-07 14:02:00,start_request,청소,P019,SU0009_5,desktop,B
E000060,U0009,2026-04-07 14:03:00,submit_request,청소,P019,SU0009_5,desktop,B
E000061,U0009,2026-04-07 15:22:00,view_quote,청소,P019,SU0009_5,desktop,B
E000062,U0010,2026-03-14 08:05:00,visit,청소,P068,SU0010_1,mobile,B
E000063,U0010,2026-03-14 08:06:00,search,청소,P068,SU0010_1,mobile,B
E000064,U0010,2026-03-14 08:00:00,view_provider,청소,P068,SU0010_1,mobile,B
E000065,U0010,2026-03-14 08:01:00,start_request,청소,P068,SU0010_1,mobile,B
