quote_id,request_id,provider_id,quote_time,quote_price,response_minutes
Q00001,R00001,P067,2026-05-22 21:35:00,63000.0,205
Q00002,R00002,P018,2026-02-25 15:22:00,36000.0,192
Q00003,R00003,P061,2026-04-03 18:12:00,31000.0,62
Q00004,R00004,P078,2026-04-27 17:56:00,24000.0,106
Q00005,R00005,P019,2026-04-07 15:22:00,76000.0,72
Q00006,R00007,P057,2026-03-30 20:13:00,48000.0,3
Q00007,R00008,P045,2026-04-16 23:20:00,35000.0,70
Q00008,R00009,P023,2026-03-15 19:14:00,53000.0,64
Q00009,R00011,P075,2026-04-21 19:47:00,34000.0,157
Q00010,R00013,P004,2026-04-04 12:37:00,20000.0,87
Q00011,R00014,P065,2026-01-19 21:34:00,76000.0,144
Q00012,R00015,P022,2026-01-20 22:38:00,180000.0,88
Q00013,R00016,P026,2026-04-24 11:50:00,55000.0,100
Q00014,R00017,P016,2026-04-07 20:02:00,41000.0,52
Q00015,R00019,P050,2026-02-18 20:13:00,154000.0,3
Q00016,R00020,P039,2026-05-05 09:23:00,112000.0,73
Q00017,R00025,P030,2026-04-12 09:05:00,149000.0,55
Q00018,R00026,P063,2026-04-10 08:21:00,33000.0,11
Q00019,R00029,P075,2026-05-23 11:44:00,106000.0,154
Q00020,R00032,P006,2026-02-07 21:59:00,95000.0,49
Q00021,R00034,P080,2026-04-03 21:49:00,47000.0,159
Q00022,R00035,P044,2026-03-07 14:45:00,58000.0,95
Q00023,R00037,P050,2026-03-08 09:14:00,60000.0,64
Q00024,R00038,P073,2026-04-06 17:15:00,46000.0,5
Q00025,R00039,P071,2026-04-15 20:34:00,67000.0,144
Q00026,R00040,P070,2026-01-14 19:18:00,58000.0,128
Q00027,R00041,P051,2026-02-11 16:33:00,99000.0,143
Q00028,R00042,P027,2026-03-11 13:53:00,47000.0,103
Q00029,R00044,P007,2026-03-22 22:12:00,54000.0,122
Q00030,R00045,P014,2026-03-26 15:12:00,84000.0,122
Q00031,R00046,P065,2026-04-14 08:56:00,30000.0,46
Q00032,R00047,P045,2026-04-08 18:08:00,100000.0,118
Q00033,R00049,P047,2026-03-13 21:47:00,63000.0,37
Q00034,R00050,P071,2026-03-09 10:13:00,49000.0,3
Q00035,R00051,P054,2026-03-01 18:38:00,69000.0,28
Q00036,R00052,P070,2026-05-03 16:14:00,46000.0,64
Q00037,R00053,P050,2026-03-30 12:19:00,51000.0,9
Q00038,R00054,P017,2026-05-16 13:37:00,23000.0,87
Q00039,R00055,P020,2026-04-01 16:58:00,36000.0,108
Q00040,R00056,P034,2026-03-15 10:02:00,101000.0,52
Q00041,R00057,P028,2026-03-26 10:31:00,76000.0,81
Q00042,R00058,P011,2026-03-01 09:56:00,85000.0,106
Q00043,R00060,P059,2026-05-15 16:36:00,95000.0,86
Q00044,R00061,P076,2026-03-23 21:21:00,53000.0,71
Q00045,R00063,P064,2026-04-27 18:34:00,92000.0,84
Q00046,R00064,P075,2026-03-12 22:21:00,47000.0,11
Q00047,R00065,P053,2026-04-10 17:17:00,30000.0,127
Q00048,R00066,P034,2026-05-02 22:13:00,36000.0,3
Q00049,R00067,P014,2026-02-28 14:32:00,109000.0,22
Q00050,R00068,P043,2026-04-19 15:14:00,92000.0,124
Q00051,R00070,P050,2026-04-28 09:51:00,105000.0,41
Q00052,R00071,P021,2026-02-25 10:41:00,41000.0,31
Q00053,R00073,P048,2026-04-29 21:03:00,43000.0,113
Q00054,R00074,P039,2026-04-08 09:23:00,73000.0,13
Q00055,R00076,P074,2026-05-24 17:59:00,61000.0,109
