review_id,transaction_id,user_id,provider_id,review_score,review_time
RV00001,T00003,U0015,P023,5,2026-03-17 05:32:00
RV00002,T00004,U0021,P004,3,2026-04-08 18:30:00
RV00003,T00006,U0034,P039,5,2026-05-17 01:24:00
RV00004,T00007,U0038,P030,4,2026-04-17 14:37:00
RV00005,T00009,U0057,P050,5,2026-03-15 09:52:00
RV00006,T00010,U0073,P051,3,2026-02-22 08:45:00
RV00007,T00011,U0074,P027,5,2026-03-25 08:33:00
RV00008,T00014,U0079,P045,3,2026-04-18 14:17:00
RV00009,T00016,U0095,P070,5,2026-05-08 01:28:00
RV00010,T00019,U0113,P064,4,2026-05-01 16:50:00
RV00011,T00020,U0115,P075,4,2026-03-14 12:18:00
RV00012,T00021,U0116,P034,4,2026-05-11 06:05:00
RV00013,T00023,U0126,P050,4,2026-05-04 03:55:00
RV00014,T00024,U0135,P074,5,2026-06-03 15:00:00
RV00015,T00027,U0145,P056,4,2026-05-10 09:45:00
RV00016,T00028,U0146,P006,5,2026-06-04 10:00:00
RV00017,T00029,U0157,P054,4,2026-02-10 01:30:00
RV00018,T00031,U0163,P077,3,2026-03-07 07:40:00
RV00019,T00032,U0163,P079,5,2026-03-28 22:29:00
RV00020,T00033,U0168,P067,3,2026-03-29 22:42:00
RV00021,T00034,U0170,P026,4,2026-01-30 09:20:00
RV00022,T00037,U0180,P067,5,2026-04-06 06:05:00
RV00023,T00041,U0208,P014,5,2026-06-15 02:02:00
RV00024,T00043,U0220,P013,4,2026-05-08 03:13:00
RV00025,T00044,U0221,P023,3,2026-03-28 22:31:00
RV00026,T00046,U0236,P028,5,2026-05-28 06:32:00
RV00027,T00047,U0238,P053,3,2026-03-07 05:00:00
RV00028,T00051,U0273,P037,5,2026-02-20 15:14:00
RV00029,T00052,U0283,P050,4,2026-04-21 19:03:00
RV00030,T00053,U0292,P052,5,2026-04-18 06:23:00
RV00031,T00054,U0305,P045,2,2026-04-24 16:36:00
RV00032,T00055,U0310,P070,3,2026-02-20 17:28:00
RV00033,T00056,U0315,P075,4,2026-02-25 10:11:00
RV00034,T00057,U0343,P006,5,2026-04-13 15:46:00
RV00035,T00060,U0355,P053,4,2026-04-14 20:44:00
RV00036,T00062,U0361,P030,3,2026-05-22 10:18:00
RV00037,T00067,U0398,P021,4,2026-03-04 18:57:00
RV00038,T00068,U0410,P028,4,2026-03-15 15:22:00
RV00039,T00070,U0417,P053,3,2026-05-09 05:08:00
RV00040,T00072,U0426,P065,4,2026-02-08 20:14:00
RV00041,T00073,U0432,P047,4,2026-05-06 13:18:00
RV00042,T00074,U0451,P069,3,2026-05-15 21:33:00
RV00043,T00075,U0476,P035,2,2026-05-05 22:50:00
