request_id,user_id,provider_id,service_category,request_time,region,request_status
R00001,U0002,P067,사진촬영,2026-05-22 18:10:00,부산,submitted
R00002,U0004,P018,운동,2026-02-25 12:10:00,서울,submitted
R00003,U0005,P061,청소,2026-04-03 17:10:00,서울,submitted
R00004,U0006,P078,과외,2026-04-27 16:10:00,경기,submitted
R00005,U0009,P019,청소,2026-04-07 14:10:00,서울,submitted
R00006,U0011,P077,사진촬영,2026-03-04 16:10:00,서울,submitted
R00007,U0011,P057,이사,2026-03-30 20:10:00,서울,submitted
R00008,U0012,P045,이사,2026-04-16 22:10:00,인천,submitted
R00009,U0015,P023,과외,2026-03-15 18:10:00,대구,submitted
R00010,U0016,P043,사진촬영,2026-03-12 13:10:00,서울,submitted
R00011,U0016,P075,이사,2026-04-21 17:10:00,서울,submitted
R00012,U0021,P040,사진촬영,2026-04-13 18:10:00,서울,submitted
R00013,U0021,P004,이사,2026-04-04 11:10:00,서울,submitted
R00014,U0023,P065,운동,2026-01-19 19:10:00,서울,submitted
R00015,U0023,P022,이사,2026-01-20 21:10:00,서울,submitted
R00016,U0028,P026,사진촬영,2026-04-24 10:10:00,경기,submitted
R00017,U0031,P016,청소,2026-04-07 19:10:00,서울,submitted
R00018,U0031,P038,이사,2026-03-07 19:10:00,서울,submitted
R00019,U0032,P050,과외,2026-02-18 20:10:00,서울,submitted
R00020,U0034,P039,이사,2026-05-05 08:10:00,서울,submitted
R00021,U0035,P011,인테리어,2026-04-06 17:10:00,경기,submitted
R00022,U0035,P001,인테리어,2026-05-27 13:10:00,경기,submitted
R00023,U0035,P038,운동,2026-06-08 18:10:00,경기,submitted
R00024,U0037,P023,인테리어,2026-05-04 10:10:00,서울,submitted
R00025,U0038,P030,운동,2026-04-12 08:10:00,서울,submitted
R00026,U0039,P063,인테리어,2026-04-10 08:10:00,경기,submitted
R00027,U0040,P063,이사,2026-05-09 16:10:00,서울,submitted
R00028,U0041,P044,이사,2026-04-01 12:10:00,인천,submitted
R00029,U0042,P075,청소,2026-05-23 09:10:00,서울,submitted
R00030,U0042,P057,과외,2026-05-25 15:10:00,서울,submitted
R00031,U0043,P012,인테리어,2026-05-20 21:10:00,대구,submitted
R00032,U0045,P006,인테리어,2026-02-07 21:10:00,부산,submitted
R00033,U0049,P038,과외,2026-03-16 20:10:00,인천,submitted
R00034,U0053,P080,과외,2026-04-03 19:10:00,경기,submitted
R00035,U0055,P044,과외,2026-03-07 13:10:00,부산,submitted
R00036,U0056,P034,사진촬영,2026-01-04 14:10:00,경기,submitted
R00037,U0057,P050,운동,2026-03-08 08:10:00,서울,submitted
R00038,U0063,P073,사진촬영,2026-04-06 17:10:00,서울,submitted
R00039,U0064,P071,인테리어,2026-04-15 18:10:00,서울,submitted
R00040,U0069,P070,인테리어,2026-01-14 17:10:00,서울,submitted
R00041,U0073,P051,과외,2026-02-11 14:10:00,서울,submitted
R00042,U0074,P027,이사,2026-03-11 12:10:00,경기,submitted
R00043,U0076,P001,운동,2026-04-12 13:10:00,경기,submitted
R00044,U0077,P007,과외,2026-03-22 20:10:00,인천,submitted
R00045,U0078,P014,과외,2026-03-26 13:10:00,경기,submitted
R00046,U0079,P065,이사,2026-04-14 08:10:00,경기,submitted
R00047,U0079,P045,운동,2026-04-08 16:10:00,경기,submitted
R00048,U0081,P021,과외,2026-05-03 12:10:00,경기,submitted
R00049,U0082,P047,인테리어,2026-03-13 21:10:00,서울,submitted
R00050,U0083,P071,인테리어,2026-03-09 10:10:00,경기,submitted
R00051,U0083,P054,이사,2026-03-01 18:10:00,경기,submitted
R00052,U0095,P070,인테리어,2026-05-03 15:10:00,인천,submitted
R00053,U0099,P050,인테리어,2026-03-30 12:10:00,경기,submitted
R00054,U0101,P017,사진촬영,2026-05-16 12:10:00,경기,submitted
R00055,U0101,P020,사진촬영,2026-04-01 15:10:00,경기,submitted
R00056,U0103,P034,이사,2026-03-15 09:10:00,경기,submitted
R00057,U0109,P028,사진촬영,2026-03-26 09:10:00,경기,submitted
R00058,U0109,P011,이사,2026-03-01 08:10:00,경기,submitted
R00059,U0109,P012,사진촬영,2026-04-27 16:10:00,경기,submitted
R00060,U0110,P059,과외,2026-05-15 15:10:00,경기,submitted
R00061,U0112,P076,사진촬영,2026-03-23 20:10:00,서울,submitted
R00062,U0112,P003,인테리어,2026-04-24 10:10:00,서울,submitted
R00063,U0113,P064,인테리어,2026-04-27 17:10:00,서울,submitted
R00064,U0115,P075,이사,2026-03-12 22:10:00,경기,submitted
R00065,U0115,P053,사진촬영,2026-04-10 15:10:00,경기,submitted
