transaction_id,request_id,user_id,provider_id,transaction_time,transaction_amount,transaction_status
T00001,R00002,U0004,P018,2026-02-26 13:13:00,37393.49,completed
T00002,R00004,U0006,P078,2026-04-27 23:14:00,22340.56,completed
T00003,R00009,U0015,P023,2026-03-16 05:32:00,54212.49,completed
T00004,R00013,U0021,P004,2026-04-04 18:30:00,18358.93,completed
T00005,R00017,U0031,P016,2026-04-08 19:22:00,42881.86,completed
T00006,R00020,U0034,P039,2026-05-06 01:24:00,106419.1,completed
T00007,R00025,U0038,P030,2026-04-12 14:37:00,158408.77,completed
T00008,R00034,U0053,P080,2026-04-03 23:26:00,50508.46,completed
T00009,R00037,U0057,P050,2026-03-08 09:52:00,55122.8,completed
T00010,R00041,U0073,P051,2026-02-12 08:45:00,99826.42,completed
T00011,R00042,U0074,P027,2026-03-12 08:33:00,51365.05,completed
T00012,R00045,U0078,P014,2026-03-27 07:02:00,85057.83,completed
T00013,R00046,U0079,P065,2026-04-14 16:27:00,28132.67,completed
T00014,R00047,U0079,P045,2026-04-09 14:17:00,102569.53,completed
T00015,R00049,U0082,P047,2026-03-14 19:27:00,60985.75,completed
T00016,R00052,U0095,P070,2026-05-04 01:28:00,45755.97,completed
T00017,R00053,U0099,P050,2026-03-31 02:50:00,54422.23,completed
T00018,R00055,U0101,P020,2026-04-01 18:00:00,38092.85,completed
T00019,R00063,U0113,P064,2026-04-28 16:50:00,86312.29,completed
T00020,R00064,U0115,P075,2026-03-13 12:18:00,44201.7,completed
T00021,R00066,U0116,P034,2026-05-03 06:05:00,38533.45,completed
T00022,R00067,U0120,P014,2026-03-01 00:23:00,109875.09,completed
T00023,R00070,U0126,P050,2026-04-29 03:55:00,106418.56,completed
T00024,R00076,U0135,P074,2026-05-25 15:00:00,54927.27,completed
T00025,R00079,U0136,P046,2026-01-30 00:57:00,39582.8,completed
T00026,R00080,U0138,P036,2026-03-13 04:03:00,57179.32,completed
T00027,R00084,U0145,P056,2026-04-28 09:45:00,70773.5,completed
T00028,R00086,U0146,P006,2026-05-30 10:00:00,37129.94,completed
T00029,R00090,U0157,P054,2026-02-01 01:30:00,96381.12,completed
T00030,R00091,U0157,P009,2026-02-19 00:44:00,54620.44,completed
T00031,R00093,U0163,P077,2026-02-22 07:40:00,103016.41,completed
T00032,R00095,U0163,P079,2026-03-21 22:29:00,22317.66,completed
T00033,R00097,U0168,P067,2026-03-24 22:42:00,64156.25,completed
T00034,R00099,U0170,P026,2026-01-23 09:20:00,35584.43,completed
T00035,R00101,U0172,P047,2026-02-16 21:21:00,53106.69,completed
T00036,R00102,U0174,P061,2026-04-08 18:00:00,44137.17,completed
T00037,R00104,U0180,P067,2026-04-01 06:05:00,39960.24,completed
T00038,R00106,U0182,P075,2026-03-26 15:00:00,99823.66,completed
T00039,R00107,U0185,P039,2026-03-23 21:16:00,89454.91,completed
T00040,R00110,U0191,P052,2026-03-27 14:24:00,36196.72,completed
T00041,R00124,U0208,P014,2026-06-08 02:02:00,139078.11,completed
T00042,R00126,U0214,P005,2026-03-20 02:07:00,17480.05,completed
T00043,R00132,U0220,P013,2026-04-29 03:13:00,30449.55,completed
T00044,R00133,U0221,P023,2026-03-27 22:31:00,151073.2,completed
T00045,R00137,U0233,P028,2026-02-24 05:36:00,67007.07,completed
T00046,R00138,U0236,P028,2026-05-24 06:32:00,100880.69,completed
T00047,R00139,U0238,P053,2026-02-22 05:00:00,52758.61,completed
T00048,R00141,U0242,P051,2026-03-07 21:47:00,78312.14,completed
T00049,R00144,U0246,P069,2026-03-10 19:37:00,38170.98,completed
T00050,R00153,U0261,P078,2026-04-08 05:59:00,148045.81,completed
T00051,R00157,U0273,P037,2026-02-15 15:14:00,61184.52,completed
T00052,R00164,U0283,P050,2026-04-18 19:03:00,49797.81,completed
T00053,R00166,U0292,P052,2026-04-15 06:23:00,43917.94,completed
T00054,R00171,U0305,P045,2026-04-22 16:36:00,43578.25,completed
T00055,R00172,U0310,P070,2026-02-09 17:28:00,38296.76,completed
T00056,R00173,U0315,P075,2026-02-12 10:11:00,22338.39,completed
T00057,R00183,U0343,P006,2026-04-08 15:46:00,35256.51,completed
T00058,R00184,U0344,P049,2026-04-08 22:21:00,84578.77,completed
T00059,R00186,U0350,P029,2026-03-26 08:17:00,87730.35,completed
T00060,R00189,U0355,P053,2026-04-12 20:44:00,93876.74,completed
T00061,R00191,U0359,P073,2026-01-29 13:49:00,44362.89,completed
T00062,R00194,U0361,P030,2026-05-12 10:18:00,92100.87,completed
T00063,R00196,U0367,P049,2026-03-10 01:39:00,177638.48,completed
T00064,R00204,U0376,P027,2026-01-31 15:04:00,76318.87,completed
T00065,R00206,U0381,P043,2026-02-21 11:26:00,148564.09,completed
T00066,R00210,U0389,P053,2026-05-15 06:53:00,19843.03,completed
T00067,R00213,U0398,P021,2026-02-19 18:57:00,57963.56,completed
T00068,R00218,U0410,P028,2026-03-02 15:22:00,66629.66,completed
T00069,R00219,U0414,P035,2026-02-15 22:00:00,62252.03,completed
T00070,R00221,U0417,P053,2026-05-06 05:08:00,16345.74,completed
T00071,R00223,U0420,P042,2026-03-07 04:38:00,99923.92,completed
T00072,R00225,U0426,P065,2026-02-01 20:14:00,59866.1,completed
T00073,R00227,U0432,P047,2026-04-29 13:18:00,42516.86,completed
T00074,R00231,U0451,P069,2026-05-11 21:33:00,70741.53,completed
T00075,R00235,U0476,P035,2026-05-04 22:50:00,118907.38,completed
