user_id,signup_date,region,acquisition_channel,user_type
U0001,2026-01-09,경기,organic,customer
U0002,2026-03-11,부산,organic,customer
U0003,2026-02-28,경기,organic,customer
U0004,2026-02-09,서울,paid_search,customer
U0005,2026-02-08,서울,social,customer
U0006,2026-03-19,경기,organic,customer
U0007,2026-01-08,인천,organic,customer
U0008,2026-03-04,서울,direct,customer
U0009,2026-01-19,서울,organic,customer
U0010,2026-01-09,경기,paid_search,provider_candidate
U0011,2026-02-17,서울,social,customer
U0012,2026-03-29,인천,organic,customer
U0013,2026-03-08,서울,organic,customer
U0014,2026-03-10,서울,organic,provider_candidate
U0015,2026-03-06,대구,direct,customer
U0016,2026-03-12,서울,organic,customer
U0017,2026-02-16,서울,organic,customer
U0018,2026-01-12,서울,organic,provider_candidate
U0019,2026-03-17,서울,organic,customer
U0020,2026-02-10,서울,social,customer
U0021,2026-02-15,서울,organic,provider_candidate
U0022,2026-02-03,서울,paid_search,customer
U0023,2026-01-17,서울,paid_search,customer
U0024,2026-03-25,경기,referral,customer
U0025,2026-03-12,경기,organic,customer
U0026,2026-02-27,서울,direct,customer
U0027,2026-02-06,서울,social,customer
U0028,2026-03-16,경기,organic,customer
U0029,2026-02-19,부산,referral,customer
U0030,2026-02-09,부산,direct,customer
U0031,2026-02-10,서울,organic,customer
U0032,2026-01-21,서울,direct,customer
U0033,2026-01-09,서울,paid_search,customer
U0034,2026-02-19,서울,social,customer
U0035,2026-03-21,경기,direct,provider_candidate
U0036,2026-01-06,서울,paid_search,provider_candidate
U0037,2026-03-19,서울,referral,customer
U0038,2026-03-16,서울,organic,customer
U0039,2026-01-25,경기,referral,customer
U0040,2026-02-26,서울,social,customer
U0041,2026-01-15,인천,organic,customer
U0042,2026-03-10,서울,paid_search,customer
U0043,2026-03-05,대구,organic,customer
U0044,2026-02-01,서울,organic,customer
U0045,2026-01-07,부산,organic,customer
U0046,2026-03-29,부산,organic,customer
U0047,2026-02-10,대구,organic,customer
U0048,2026-03-22,인천,organic,customer
U0049,2026-03-03,인천,social,customer
U0050,2026-03-12,경기,social,customer
U0051,2026-03-10,인천,social,customer
U0052,2026-01-18,서울,organic,customer
U0053,2026-02-02,경기,direct,customer
U0054,2026-02-12,경기,paid_search,customer
U0055,2026-02-14,부산,organic,customer
U0056,2026-01-04,경기,organic,provider_candidate
U0057,2026-02-19,서울,social,customer
U0058,2026-01-14,경기,organic,customer
