purchase_month,order_count,revenue,avg_order_value,avg_review_score,delay_rate_pct
2017-01,750,127545.67,170.06,4.2,3.07
2017-02,1653,271298.65,164.13,4.2,3.21
2017-03,2546,414369.39,162.75,4.19,5.58
2017-04,2303,390952.18,169.76,4.14,7.86
2017-05,3546,567066.73,159.92,4.24,3.61
2017-06,3135,490225.6,156.37,4.22,3.86
2017-07,3872,566403.93,146.28,4.26,3.43
2017-08,4193,646000.61,154.07,4.31,3.32
2017-09,4150,701169.99,168.96,4.27,5.2
2017-10,4478,751140.27,167.74,4.21,5.29
2017-11,7289,1153528.05,158.26,3.99,14.31
2017-12,5513,843199.17,152.95,4.09,8.38
2018-01,7069,1078606.86,152.58,4.11,6.56
2018-02,6555,966510.88,147.45,3.88,15.99
2018-03,7003,1120678.0,160.03,3.81,21.36
2018-04,6798,1132933.95,166.66,4.21,5.31
2018-05,6749,1128836.69,167.26,4.24,8.24
2018-06,6099,1012090.68,165.94,4.31,1.36
2018-07,6159,1027903.86,166.89,4.32,4.48
2018-08,6351,985414.28,155.16,4.31,10.39
