revenue_rank,product_category,order_count,order_item_count,product_revenue,avg_item_price
1,health_beauty,8647,9465,1233131.72,130.28
2,watches_gifts,5495,5859,1166176.98,199.04
3,bed_bath_table,9272,10953,1023434.76,93.44
4,sports_leisure,7530,8431,954852.55,113.25
5,computers_accessories,6530,7644,888724.61,116.26
6,furniture_decor,6307,8160,711927.69,87.25
7,housewares,5743,6795,615628.69,90.6
8,cool_stuff,3559,3718,610204.1,164.12
9,auto,3810,4140,578966.65,139.85
10,toys,3804,4030,471286.48,116.94
11,garden_tools,3448,4268,470495.28,110.24
12,baby,2809,2982,400421.84,134.28
13,perfumery,3086,3340,390144.65,116.81
14,telephony,4093,4430,309860.23,69.95
15,office_furniture,1254,1668,268154.31,160.76
16,stationery,2264,2466,223788.69,90.75
17,computers,177,199,218684.14,1098.92
18,pet_shop,1688,1924,211695.64,110.03
19,musical_instruments,611,651,184315.74,283.13
20,small_appliances,609,658,182754.12,277.74
