revenue_rank,product_category,product_revenue,revenue_share_pct,cumulative_revenue_share_pct
1,health_beauty,1233131.72,9.33,9.33
2,watches_gifts,1166176.98,8.82,18.15
3,bed_bath_table,1023434.76,7.74,25.89
4,sports_leisure,954852.55,7.22,33.11
5,computers_accessories,888724.61,6.72,39.83
6,furniture_decor,711927.69,5.38,45.22
7,housewares,615628.69,4.66,49.87
8,cool_stuff,610204.1,4.62,54.49
9,auto,578966.65,4.38,58.87
10,toys,471286.48,3.56,62.43
11,garden_tools,470495.28,3.56,65.99
12,baby,400421.84,3.03,69.02
13,perfumery,390144.65,2.95,71.97
14,telephony,309860.23,2.34,74.31
15,office_furniture,268154.31,2.03,76.34
16,stationery,223788.69,1.69,78.03
17,computers,218684.14,1.65,79.69
18,pet_shop,211695.64,1.6,81.29
19,musical_instruments,184315.74,1.39,82.68
20,small_appliances,182754.12,1.38,84.06
