customer_state,order_count,delay_rate_pct,avg_delay_days,avg_review_score
AL,397,23.93,-8.03,3.85
MA,717,19.67,-8.89,3.83
PI,476,15.97,-10.63,3.99
CE,1279,15.32,-10.11,3.94
SE,335,15.22,-9.33,3.91
BA,3256,14.04,-10.1,3.93
RJ,12350,13.47,-11.05,3.97
TO,274,12.77,-11.44,4.15
PA,946,12.37,-13.39,3.91
ES,1995,12.23,-9.8,4.08
MS,701,11.55,-10.36,4.16
PB,517,11.03,-12.6,4.08
PE,1593,10.8,-12.61,4.08
RN,474,10.76,-12.96,4.15
SC,3546,9.76,-10.8,4.13
GO,1957,8.18,-11.48,4.1
RS,5345,7.15,-13.21,4.19
DF,2080,7.07,-11.34,4.13
MT,886,6.77,-13.69,4.15
SP,40501,5.89,-10.38,4.25
MG,11354,5.61,-12.54,4.19
PR,4923,5.0,-12.62,4.24
AM,145,4.14,-18.85,4.24
RO,243,2.88,-19.4,4.17
